"metric","location","region","Period","status","n_transects","n_sites","n_dates","n_positive","prop_zero"
"M2 invertebrate species richness","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,44,0
"M2 invertebrate species richness","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M2 invertebrate species richness","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,15,0
"M2 invertebrate species richness","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,12,0
"M2 invertebrate species richness","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,117,0
"M2 invertebrate species richness","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,24,0
"M2 invertebrate species richness","Encounter Bay","South Coast","Bloom","Fished",28,5,3,28,0
"M2 invertebrate species richness","Encounter Bay","South Coast","Bloom","No-take",8,2,2,8,0
"M2 invertebrate species richness","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,60,0
"M2 invertebrate species richness","Metro","Adelaide Metro","Bloom","Fished",8,3,2,8,0
"M2 invertebrate species richness","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,248,0
"M2 invertebrate species richness","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,176,0.005649717514124294
"M2 invertebrate species richness","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,30,0
"M2 invertebrate species richness","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,14,0
"M2 invertebrate species richness","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,91,0
"M2 invertebrate species richness","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M2 invertebrate species richness","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,136,0
"M2 invertebrate species richness","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,86,0
"M2 invertebrate species richness","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,20,0
"M2 invertebrate species richness","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,23,0.041666666666666664
"M2 invertebrate species richness","Southern Yorke","Southern Yorke","Pre-bloom","Fished",20,3,2,20,0
"M2 invertebrate species richness","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,15,0
"M2 invertebrate species richness","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,60,0
"M2 invertebrate species richness","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,68,0
"M2 invertebrate species richness","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M2 invertebrate species richness","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M2 invertebrate species richness","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,72,0
"M2 invertebrate species richness","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,17,0.15
"M1 fish Shannon diversity","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,202,0.04716981132075472
"M1 fish Shannon diversity","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,166,0
"M1 fish Shannon diversity","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,41,0.06818181818181818
"M1 fish Shannon diversity","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M1 fish Shannon diversity","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",11,2,2,11,0
"M1 fish Shannon diversity","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,10,0.16666666666666666
"M1 fish Shannon diversity","Encounter Bay","South Coast","Pre-bloom","Fished",115,5,10,113,0.017391304347826087
"M1 fish Shannon diversity","Encounter Bay","South Coast","Pre-bloom","No-take",14,2,4,13,0.07142857142857142
"M1 fish Shannon diversity","Encounter Bay","South Coast","Bloom","Fished",28,5,3,20,0.2857142857142857
"M1 fish Shannon diversity","Encounter Bay","South Coast","Bloom","No-take",8,2,2,4,0.5
"M1 fish Shannon diversity","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,53,0.11666666666666667
"M1 fish Shannon diversity","Metro","Adelaide Metro","Bloom","Fished",8,3,2,2,0.75
"M1 fish Shannon diversity","Rapid Head","Fleurieu","Pre-bloom","Fished",250,6,20,250,0
"M1 fish Shannon diversity","Rapid Head","Fleurieu","Pre-bloom","No-take",180,4,18,180,0
"M1 fish Shannon diversity","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,30,0
"M1 fish Shannon diversity","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,14,0
"M1 fish Shannon diversity","Southern Fleurieu","South Coast","Pre-bloom","Fished",89,6,7,89,0
"M1 fish Shannon diversity","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M1 fish Shannon diversity","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,127,0.0661764705882353
"M1 fish Shannon diversity","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,86,0
"M1 fish Shannon diversity","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,17,0.15
"M1 fish Shannon diversity","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,24,0
"M1 fish Shannon diversity","Southern Yorke","Southern Yorke","Pre-bloom","Fished",12,3,1,12,0
"M1 fish Shannon diversity","Southern Yorke","Southern Yorke","Bloom","Fished",14,3,2,14,0
"M1 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,60,0
"M1 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,68,0
"M1 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M1 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M1 fish Shannon diversity","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,67,0.06944444444444445
"M1 fish Shannon diversity","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,5,0.75
"M2 fish Shannon diversity","Carrickalinga","Fleurieu","Pre-bloom","Fished",211,10,16,130,0.38388625592417064
"M2 fish Shannon diversity","Carrickalinga","Fleurieu","Pre-bloom","No-take",165,4,13,94,0.4303030303030303
"M2 fish Shannon diversity","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,8,0.8181818181818182
"M2 fish Shannon diversity","Carrickalinga","Fleurieu","Bloom","No-take",19,4,1,2,0.8947368421052632
"M2 fish Shannon diversity","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,4,0.7333333333333333
"M2 fish Shannon diversity","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,6,0.5
"M2 fish Shannon diversity","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,21,0.8205128205128205
"M2 fish Shannon diversity","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,6,0.75
"M2 fish Shannon diversity","Encounter Bay","South Coast","Bloom","Fished",28,5,3,1,0.9642857142857143
"M2 fish Shannon diversity","Encounter Bay","South Coast","Bloom","No-take",8,2,2,0,1
"M2 fish Shannon diversity","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,51,0.15
"M2 fish Shannon diversity","Metro","Adelaide Metro","Bloom","Fished",8,3,2,0,1
"M2 fish Shannon diversity","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,137,0.4475806451612903
"M2 fish Shannon diversity","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,90,0.4915254237288136
"M2 fish Shannon diversity","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,10,0.6666666666666666
"M2 fish Shannon diversity","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,5,0.6428571428571429
"M2 fish Shannon diversity","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,11,0.8791208791208791
"M2 fish Shannon diversity","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,0,1
"M2 fish Shannon diversity","Southern Metro","Adelaide Metro","Pre-bloom","Fished",134,7,13,72,0.4626865671641791
"M2 fish Shannon diversity","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,73,0.1511627906976744
"M2 fish Shannon diversity","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,6,0.7
"M2 fish Shannon diversity","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,4,0.8333333333333334
"M2 fish Shannon diversity","Southern Yorke","Southern Yorke","Pre-bloom","Fished",19,3,2,4,0.7894736842105263
"M2 fish Shannon diversity","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,9,0.4
"M2 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,30,0.5
"M2 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,33,0.5147058823529411
"M2 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,6,0.5
"M2 fish Shannon diversity","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,4,0.5
"M2 fish Shannon diversity","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,50,0.3055555555555556
"M2 fish Shannon diversity","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,0,1
"M2 invertebrate Shannon diversity","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,204,0.03773584905660377
"M2 invertebrate Shannon diversity","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,165,0.006024096385542169
"M2 invertebrate Shannon diversity","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,44,0
"M2 invertebrate Shannon diversity","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M2 invertebrate Shannon diversity","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,15,0
"M2 invertebrate Shannon diversity","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,10,0.16666666666666666
"M2 invertebrate Shannon diversity","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,117,0
"M2 invertebrate Shannon diversity","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,24,0
"M2 invertebrate Shannon diversity","Encounter Bay","South Coast","Bloom","Fished",28,5,3,27,0.03571428571428571
"M2 invertebrate Shannon diversity","Encounter Bay","South Coast","Bloom","No-take",8,2,2,8,0
"M2 invertebrate Shannon diversity","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,60,0
"M2 invertebrate Shannon diversity","Metro","Adelaide Metro","Bloom","Fished",8,3,2,8,0
"M2 invertebrate Shannon diversity","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,246,0.008064516129032258
"M2 invertebrate Shannon diversity","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,173,0.022598870056497175
"M2 invertebrate Shannon diversity","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,30,0
"M2 invertebrate Shannon diversity","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,13,0.07142857142857142
"M2 invertebrate Shannon diversity","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,91,0
"M2 invertebrate Shannon diversity","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M2 invertebrate Shannon diversity","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,136,0
"M2 invertebrate Shannon diversity","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,86,0
"M2 invertebrate Shannon diversity","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,18,0.1
"M2 invertebrate Shannon diversity","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,23,0.041666666666666664
"M2 invertebrate Shannon diversity","Southern Yorke","Southern Yorke","Pre-bloom","Fished",20,3,2,20,0
"M2 invertebrate Shannon diversity","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,15,0
"M2 invertebrate Shannon diversity","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,59,0.016666666666666666
"M2 invertebrate Shannon diversity","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,68,0
"M2 invertebrate Shannon diversity","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M2 invertebrate Shannon diversity","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M2 invertebrate Shannon diversity","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,71,0.013888888888888888
"M2 invertebrate Shannon diversity","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,9,0.55
"M1 fish B20 biomass","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,201,0.05188679245283019
"M1 fish B20 biomass","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,166,0
"M1 fish B20 biomass","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,36,0.18181818181818182
"M1 fish B20 biomass","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M1 fish B20 biomass","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",11,2,2,9,0.18181818181818182
"M1 fish B20 biomass","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,10,0.16666666666666666
"M1 fish B20 biomass","Encounter Bay","South Coast","Pre-bloom","Fished",115,5,10,112,0.02608695652173913
"M1 fish B20 biomass","Encounter Bay","South Coast","Pre-bloom","No-take",14,2,4,13,0.07142857142857142
"M1 fish B20 biomass","Encounter Bay","South Coast","Bloom","Fished",28,5,3,26,0.07142857142857142
"M1 fish B20 biomass","Encounter Bay","South Coast","Bloom","No-take",8,2,2,4,0.5
"M1 fish B20 biomass","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,51,0.15
"M1 fish B20 biomass","Metro","Adelaide Metro","Bloom","Fished",8,3,2,1,0.875
"M1 fish B20 biomass","Rapid Head","Fleurieu","Pre-bloom","Fished",250,6,20,247,0.012
"M1 fish B20 biomass","Rapid Head","Fleurieu","Pre-bloom","No-take",180,4,18,180,0
"M1 fish B20 biomass","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,27,0.1
"M1 fish B20 biomass","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,14,0
"M1 fish B20 biomass","Southern Fleurieu","South Coast","Pre-bloom","Fished",89,6,7,89,0
"M1 fish B20 biomass","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,26,0.07142857142857142
"M1 fish B20 biomass","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,117,0.13970588235294118
"M1 fish B20 biomass","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,85,0.011627906976744186
"M1 fish B20 biomass","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,18,0.1
"M1 fish B20 biomass","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,24,0
"M1 fish B20 biomass","Southern Yorke","Southern Yorke","Pre-bloom","Fished",12,3,1,12,0
"M1 fish B20 biomass","Southern Yorke","Southern Yorke","Bloom","Fished",14,3,2,13,0.07142857142857142
"M1 fish B20 biomass","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,60,0
"M1 fish B20 biomass","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,68,0
"M1 fish B20 biomass","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,12,0
"M1 fish B20 biomass","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,8,0
"M1 fish B20 biomass","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,33,0.5416666666666666
"M1 fish B20 biomass","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,7,0.65
"M2 fish B20 biomass","Carrickalinga","Fleurieu","Pre-bloom","Fished",211,10,16,28,0.8672985781990521
"M2 fish B20 biomass","Carrickalinga","Fleurieu","Pre-bloom","No-take",165,4,13,21,0.8727272727272727
"M2 fish B20 biomass","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,3,0.9318181818181818
"M2 fish B20 biomass","Carrickalinga","Fleurieu","Bloom","No-take",19,4,1,1,0.9473684210526315
"M2 fish B20 biomass","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",15,3,3,1,0.9333333333333333
"M2 fish B20 biomass","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,0,1
"M2 fish B20 biomass","Encounter Bay","South Coast","Pre-bloom","Fished",117,5,10,13,0.8888888888888888
"M2 fish B20 biomass","Encounter Bay","South Coast","Pre-bloom","No-take",24,2,6,3,0.875
"M2 fish B20 biomass","Encounter Bay","South Coast","Bloom","Fished",28,5,3,0,1
"M2 fish B20 biomass","Encounter Bay","South Coast","Bloom","No-take",8,2,2,0,1
"M2 fish B20 biomass","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,4,0.9333333333333333
"M2 fish B20 biomass","Metro","Adelaide Metro","Bloom","Fished",8,3,2,0,1
"M2 fish B20 biomass","Rapid Head","Fleurieu","Pre-bloom","Fished",248,6,20,72,0.7096774193548387
"M2 fish B20 biomass","Rapid Head","Fleurieu","Pre-bloom","No-take",177,4,18,53,0.7005649717514124
"M2 fish B20 biomass","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,6,0.8
"M2 fish B20 biomass","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,4,0.7142857142857143
"M2 fish B20 biomass","Southern Fleurieu","South Coast","Pre-bloom","Fished",91,6,7,17,0.8131868131868132
"M2 fish B20 biomass","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,0,1
"M2 fish B20 biomass","Southern Metro","Adelaide Metro","Pre-bloom","Fished",134,7,13,22,0.835820895522388
"M2 fish B20 biomass","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,31,0.6395348837209303
"M2 fish B20 biomass","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,0,1
"M2 fish B20 biomass","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,1,0.9583333333333334
"M2 fish B20 biomass","Southern Yorke","Southern Yorke","Pre-bloom","Fished",19,3,2,0,1
"M2 fish B20 biomass","Southern Yorke","Southern Yorke","Bloom","Fished",15,3,2,3,0.8
"M2 fish B20 biomass","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,28,0.5333333333333333
"M2 fish B20 biomass","Sponge Gardens","Kangaroo Island","Pre-bloom","No-take",68,2,9,48,0.29411764705882354
"M2 fish B20 biomass","Sponge Gardens","Kangaroo Island","Bloom","Fished",12,3,1,7,0.4166666666666667
"M2 fish B20 biomass","Sponge Gardens","Kangaroo Island","Bloom","No-take",8,2,1,6,0.25
"M2 fish B20 biomass","Upper GSV","Upper Gulf St Vincent","Pre-bloom","Fished",72,5,8,6,0.9166666666666666
"M2 fish B20 biomass","Upper GSV","Upper Gulf St Vincent","Bloom","Fished",20,5,1,0,1
"M1 fish total abundance","Carrickalinga","Fleurieu","Pre-bloom","Fished",212,10,16,210,0.009433962264150943
"M1 fish total abundance","Carrickalinga","Fleurieu","Pre-bloom","No-take",166,4,13,166,0
"M1 fish total abundance","Carrickalinga","Fleurieu","Bloom","Fished",44,10,1,44,0
"M1 fish total abundance","Carrickalinga","Fleurieu","Bloom","No-take",20,4,1,20,0
"M1 fish total abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Pre-bloom","Fished",11,2,2,11,0
"M1 fish total abundance","Eastern Spencer Gulf","Eastern Spencer Gulf","Bloom","Fished",12,3,1,12,0
"M1 fish total abundance","Encounter Bay","South Coast","Pre-bloom","Fished",115,5,10,114,0.008695652173913044
"M1 fish total abundance","Encounter Bay","South Coast","Pre-bloom","No-take",14,2,4,14,0
"M1 fish total abundance","Encounter Bay","South Coast","Bloom","Fished",28,5,3,27,0.03571428571428571
"M1 fish total abundance","Encounter Bay","South Coast","Bloom","No-take",8,2,2,5,0.375
"M1 fish total abundance","Metro","Adelaide Metro","Pre-bloom","Fished",60,3,13,58,0.03333333333333333
"M1 fish total abundance","Metro","Adelaide Metro","Bloom","Fished",8,3,2,7,0.125
"M1 fish total abundance","Rapid Head","Fleurieu","Pre-bloom","Fished",250,6,20,250,0
"M1 fish total abundance","Rapid Head","Fleurieu","Pre-bloom","No-take",180,4,18,180,0
"M1 fish total abundance","Rapid Head","Fleurieu","Bloom","Fished",30,6,2,30,0
"M1 fish total abundance","Rapid Head","Fleurieu","Bloom","No-take",14,4,1,14,0
"M1 fish total abundance","Southern Fleurieu","South Coast","Pre-bloom","Fished",89,6,7,89,0
"M1 fish total abundance","Southern Fleurieu","South Coast","Bloom","Fished",28,6,2,28,0
"M1 fish total abundance","Southern Metro","Adelaide Metro","Pre-bloom","Fished",136,7,13,133,0.022058823529411766
"M1 fish total abundance","Southern Metro","Adelaide Metro","Pre-bloom","No-take",86,7,14,86,0
"M1 fish total abundance","Southern Metro","Adelaide Metro","Bloom","Fished",20,7,2,20,0
"M1 fish total abundance","Southern Metro","Adelaide Metro","Bloom","No-take",24,7,2,24,0
"M1 fish total abundance","Southern Yorke","Southern Yorke","Pre-bloom","Fished",12,3,1,12,0
"M1 fish total abundance","Southern Yorke","Southern Yorke","Bloom","Fished",14,3,2,14,0
"M1 fish total abundance","Sponge Gardens","Kangaroo Island","Pre-bloom","Fished",60,3,5,60,0
