campaignid,sample,date,reporting_name,location,uwa_site_code,zone_type,zone_name,status_recorded,status_zoning
202010-202010_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T02_2010,2020-10-28,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,Windara Shellfish Reef,SZ,Windara Shell fish Reef,Fished,No-take
202010-202010_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T03_2010,2020-10-28,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,Windara Shellfish Reef,SZ,Windara Shell fish Reef,Fished,No-take
202010-202010_SA_Shellfish Reef Monitoring_StereoBruvs,WI_T04_2010,2020-10-28,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,Windara Shellfish Reef,SZ,Windara Shell fish Reef,Fished,No-take
2025-10_Windara_BRUVS,WIT01_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,Windara Shellfish Reef,SZ,Windara Shell fish Reef,Fished,No-take
2025-10_Windara_BRUVS,WIT02_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,Windara Shellfish Reef,SZ,Windara Shell fish Reef,Fished,No-take
2025-10_Windara_BRUVS,WIT03_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,Windara Shellfish Reef,SZ,Windara Shell fish Reef,Fished,No-take
2025-10_Windara_BRUVS,WIT04_2510,2025-10-24,Windara Reef - Windara Shell fish Reef Sanctuary Zone,Upper Gulf St Vincent,Windara Shellfish Reef,SZ,Windara Shell fish Reef,Fished,No-take
2015-04_Desal.BRUVS_monoBRUVS,ADP_R1_A,2015-04-28,NA,NA,NA,NA,NA,No-take,Fished
2015-04_Desal.BRUVS_monoBRUVS,ADP_R2_A,2015-04-28,NA,NA,NA,NA,NA,No-take,Fished
2015-04_Desal.BRUVS_monoBRUVS,ADP_R3_A,2015-04-28,NA,NA,NA,NA,NA,No-take,Fished
2015-04_Desal.BRUVS_monoBRUVS,ADP_R4_A,2015-04-29,NA,NA,NA,NA,NA,No-take,Fished
2015-04_Desal.BRUVS_monoBRUVS,ADP_R5_A,2015-04-29,NA,NA,NA,NA,NA,No-take,Fished
2015-04_Desal.BRUVS_monoBRUVS,ADP_R6_A,2015-04-29,NA,NA,NA,NA,NA,No-take,Fished
2015-04_GSV_monoBRUVS,DPR1_1504,2015-04-28,NA,NA,NA,NA,NA,No-take,Fished
2015-04_GSV_monoBRUVS,DPR2_1504,2015-04-28,NA,NA,NA,NA,NA,No-take,Fished
2015-04_GSV_monoBRUVS,DPR3_1504,2015-04-28,NA,NA,NA,NA,NA,No-take,Fished
2015-04_GSV_monoBRUVS,DPR4_1504,2015-04-29,NA,NA,NA,NA,NA,No-take,Fished
2015-04_GSV_monoBRUVS,DPR5_1504,2015-04-29,NA,NA,NA,NA,NA,No-take,Fished
2015-04_GSV_monoBRUVS,DPR6_1504,2015-04-29,NA,NA,NA,NA,NA,No-take,Fished
2015-10_Desal.BRUVS_monoBRUVS,ADP_R1_S,2015-10-09,NA,NA,NA,NA,NA,No-take,Fished
2015-10_Desal.BRUVS_monoBRUVS,ADP_R2_S,2015-10-09,NA,NA,NA,NA,NA,No-take,Fished
2015-10_Desal.BRUVS_monoBRUVS,ADP_R3_S,2015-10-09,NA,NA,NA,NA,NA,No-take,Fished
2015-10_Desal.BRUVS_monoBRUVS,ADP_R4_S,2015-10-10,NA,NA,NA,NA,NA,No-take,Fished
2015-10_Desal.BRUVS_monoBRUVS,ADP_R5_S,2015-10-10,NA,NA,NA,NA,NA,No-take,Fished
2015-10_Desal.BRUVS_monoBRUVS,ADP_R6_S,2015-10-10,NA,NA,NA,NA,NA,No-take,Fished
2015-10_GSV_monoBRUVS,ADP_R1_1510,2015-10-09,NA,NA,NA,NA,NA,No-take,Fished
2015-10_GSV_monoBRUVS,ADP_R3_1510,2015-10-09,NA,NA,NA,NA,NA,No-take,Fished
2015-10_GSV_monoBRUVS,ADP_R4_1510,2015-10-10,NA,NA,NA,NA,NA,No-take,Fished
2015-10_GSV_monoBRUVS,ADP_R5_1510,2015-10-10,NA,NA,NA,NA,NA,No-take,Fished
2015-10_GSV_monoBRUVS,ADP_R6_1510,2015-10-10,NA,NA,NA,NA,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCCI01_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCCI04_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCEI01_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCEI02_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCEI03_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCNI01_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCNI03_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCNI04_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCSI01_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCSI02_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCSI03_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2015-201706_SA_MPA_StereoBRUVS,CCSI04_1503,2015-03-27,NA,Western Kangaroo Island,NA,HPZ,NA,No-take,Fished
2017-02_Neptunes.BRUVS_monoBRUVS,NN_R6,2017-02-26,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2017-02_Neptunes.BRUVS_monoBRUVS,NN_S6,2017-02-26,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2019-02_Neptunes_monoBRUVs,DR_S2,2019-02-16,NA,Sir Joseph Banks Group,NA,HPZ,NA,No-take,Fished
2019-02_Neptunes_monoBRUVs,DR_S2_19,2019-02-16,NA,Sir Joseph Banks Group,NA,HPZ,NA,No-take,Fished
2019-02_Neptunes_monoBRUVs,NN_R6,2019-02-15,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2019-02_Neptunes_monoBRUVs,NN_R6_19,2019-02-15,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2019-02_Neptunes_monoBRUVs,NN_S1,2019-02-15,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2019-02_Neptunes_monoBRUVs,NN_S1_19,2019-02-15,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2019-02_Neptunes_monoBRUVs,NN_S6,2019-02-15,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2020-04_Neptunes_monoBRUVs,NN_R4_20_May,2020-05-25,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2020-04_Neptunes_monoBRUVs,NN_R6_2004,2020-04-14,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2020-04_Neptunes_monoBRUVs,NN_R6_20_May,2020-05-25,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2020-04_Neptunes_monoBRUVs,NN_S1_20,2020-04-14,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2020-04_Neptunes_monoBRUVs,NN_S6_20,2020-04-14,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2020-04_Neptunes_monoBRUVs,NN_S6_2004,2020-04-14,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2022-03-Neptunes_monoBRUVs,NN_R7,2022-03-15,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2022-03-Neptunes_monoBRUVs,NN_R8,2022-03-15,NA,Neptune Islands Group,NA,HPZ,NA,No-take,Fished
2022-03-Neptunes_monoBRUVs,SN_R4,2022-03-14,NA,Neptune Islands Group,NA,RAZ_L,NA,Fished,No-take
