site_code,site_name,latitude,longitude
GSV68,Castle Gully,-35.66578,137.05316000000002
GSV69,Snellings,-35.662490000000005,137.07442
GSV7,Myponga South,-35.3882,138.3492
GSV70,Cassini West,-35.58852,137.30119
GSV71,Shag rock,-35.58716,137.41371
GSV72,Cassini East,-35.584,137.306
GSV73,Tea Tree Ledge,-35.73856,136.69215
GSV74,Cape Torrens,-35.7239,136.71698
GSV75,Cape Forbin,-35.70454,136.7803
GSV76,Cape Forbin South,-35.705890000000004,136.77789
GSV77,Snug Cove 2nd headland,-35.6928,136.8539
GSV78,Western River Cove,-35.67361,136.96972
GSV79,Stokes Bay,-35.623290000000004,137.1979
GSV80,Point Marsden,-35.56277,137.63195
GSV81,Kingscote jetty,-35.65538,137.64478
GSV82,Kangaroo Head,-35.7172,137.90473
GSV83,Stokes East,-35.61596,137.2106
GSV84,Green Cliffs,-35.600190000000005,137.26747
GSV85,Cape Dutton,-35.62865,137.1436
GSV86,Stokes_Bay_West,-35.62192,137.18793
GSV87,McDonnell Hill,-35.60068,137.26501000000002
GSV9,Dodd's Beach,-35.40416,138.33043
GSV92,Cape D'Straing,-35.5764,137.49185
GSV93,Aldinga Reef,-35.26825,138.43202
GSV94,Rapid Bay Jetty,-35.519009999999994,138.18452
GSV95,Lasseters Reef,-35.508379999999995,138.21873
GSV96,Haycock Point inshore,-35.4186,138.32299999999998
GSV97,Aldinga Reef Inshore,-35.27028,138.43386999999998
GSV98,O'Sullivan Beach Bay,-35.11686,138.46846
GSV99,Rapid Head North,-35.519220000000004,138.17416
MUR1,D'Entrecasteaux Reef,-31.97171,131.92954
MUR18,Evans Slide,-32.373490000000004,133.48518
MUR19,Masillon Island,-32.55656,133.29398999999998
MUR2,Lacy Island,-32.393370000000004,133.37686000000002
MUR20,Lacy Boulders,-32.39264,133.38031
MUR21,East Bay,-32.50282,133.30886
MUR22,Hat North,-32.519859999999994,133.30355
MUR23,Egg Beater,-32.47043,133.3192
MUR30,St Francis Island South East Point (Hat),-32.52117,133.30316000000002
MUR31,St Francis Island North Point Outer (Sea Cave),-32.494,133.282
MUR32,Freeling Island North West,-32.481,133.34267
MUR33,West Franklin Island North West,-32.45033,133.63183999999998
MUR34,East Franklin Island North East,-32.435179999999995,133.67033
MUR35,Breakwater Reef,-32.31493,133.52983
MUR4,Petrel Cove East,-32.50108,133.30275
MUR5,St Francis Inside North Point,-32.49329,133.28847
MUR6,Evans Island,-32.36858,133.48117
NSG1,Black Point,-32.9923,137.72177
NSG10,Tanked,-32.99667,137.7702
NSG11,Fenceline West,-32.99655,137.75063
NSG12,Ledges,-32.99503,137.74063
NSG2,Third Dip,-32.99437,137.73256999999998
NSG20,Point Riley,-33.87632,137.59859
NSG21,Bokos Reef,-33.75762,137.03617
NSG22,Lucky Bay Offshore,-33.73387,137.1348
NSG23,Point Lowly Lighthouse,-33.00088,137.7864
NSG24,Santos Fenceline,-32.9963,137.74538
NSG25,Fitzgerald Bay Log Cabins,-32.98183,137.78093
NSG26,Backy Point,-32.91555,137.78793000000002
NSG9,Stony Point,-32.99637,137.75642
OTW18,Salmon Hole,-37.48789,140.00589
OTW20,Goat Island 1,-37.1767,139.7346
OTW21,Robe Control 10,-37.16649,139.73927
OTW22,Doorway Rock,-37.15893,139.74278
OTW23,Robe SZ 10,-37.15644,139.7421
OTW24,Baudin Rocks 1,-37.085,139.72065
OTW25,Baudin Rocks inside,-37.0845,139.73106
SSG13,Cape Elizabeth North,-34.12928,137.43752
SSG44,Cape Elizabeth SZ Site 2,-34.193670000000004,137.47779
SSG45,Cape Elizabeth Site 2,-34.21243,137.48164
SSG46,Point Turton,-34.92926,137.34562
SSG47,Point Gawler,-34.50965,137.47345
SSG50,Baudinet,-34.22868,137.48907
SSG51,High Dunes,-34.19425,137.47478
SSG52,Scrubby Dunes,-34.18745,137.46757
SSG53,Coopers Bar,-34.16353,137.45158
SSG54,Ham Sandwich,-34.18025,137.4615
SSG55,Honeycomb,-34.17327,137.45853
SSG56,Wallaroo,-33.932742,137.604903
SSG57,Wallaroo Bay,-33.93118,137.61035
SSG58,Point Hughes,-33.93449,137.60124
SSG60,Gleesons,-35.01376,136.94128
SSG61,Cape DeBerg,-34.941629999999996,136.97491000000002
SSG62,Corny Point Outside,-34.8951,137.00183
SSG63,Corny Point Inside,-34.89452,137.01889
SSG64,Point Souttar,-34.89345,137.24671999999998
SSG65,Minlacowie,-34.8052,137.45567
SSG66,Port Rickaby,-34.66718,137.49324
SSG67,Wardang,-34.53525,137.35483
SSG68,Port Victoria,-34.49603,137.47366
SSG69,Goose Island,-34.45305,137.36771000000002
SSG70,Point Pearce,-34.44028,137.41289
SSG71,Balgowan,-34.321259999999995,137.49455
SSG72,Cape Elizabeth Site1,-34.21776,137.48774
SSG73,Cape Elizabeth SZ Site1,-34.18672,137.4716
SSG74,Cape Elizabeth SZ North,-34.17325,137.46156000000002
