project,campaignid,location,Region,site_name,latitude,longitude,year,survey_date,sample
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO33_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO34_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO35_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO36_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO37_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO38_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO39_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO40_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO41_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO42_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO43_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO49_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO54_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO58_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO91_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO92_2205
SA Marine Park Monitoring,202110-202205_SA_MarineParkMonitoring_StereoBRUVS,,,,,,2022,2022/05,SKNO93_2205
