spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
region,South Coast,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-02,overall,Overall,15.924568965517242,0.7327204088760803,232,4.71875,0.6707718657139201,16,-11.205818965517242,29.631885234808497,-70.3681147651915,FALSE,High
region,South Coast,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-05,by_status,Fished,16.451923076923077,0.7732900489374025,208,11.109375,1.0988755192259185,32,-5.342548076923077,67.52630040911748,-32.47369959088252,FALSE,Medium
region,South Coast,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-05,by_status,No-take,11.354166666666666,2.1139373522474725,24,7.375,1.961876227832259,4,-3.979166666666666,64.95412844036697,-35.04587155963303,FALSE,Medium
region,South Coast,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-05,overall,Overall,15.924568965517242,0.7327204088760803,232,10.694444444444445,1.0132608404868895,36,-5.230124521072797,67.15688485887429,-32.84311514112571,FALSE,Medium
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,by_status,Fished,0,0,208,0,0,56,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,by_status,No-take,0,0,24,0,0,8,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,overall,Overall,0,0,232,0,0,64,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2025-06,by_status,Fished,0,0,208,0,0,12,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2025-06,overall,Overall,0,0,232,0,0,12,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-02,by_status,Fished,0,0,208,0,0,12,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-02,by_status,No-take,0,0,24,0,0,4,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-02,overall,Overall,0,0,232,0,0,16,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-05,by_status,Fished,0,0,208,0,0,32,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-05,by_status,No-take,0,0,24,0,0,4,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period_split,Bloom 2026-05,overall,Overall,0,0,232,0,0,36,0,NA,NA,TRUE,Undefined - pre-bloom zero
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period,Bloom,by_status,Fished,1.3028846153846154,0.06235690963685255,208,1.6696428571428572,0.09642706829035277,56,0.3667582417582418,128.14971006852926,28.14971006852926,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period,Bloom,by_status,No-take,1.375,0.15710815069401318,24,1.4375,0.1132908708968707,8,0.0625,104.54545454545455,4.545454545454547,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period,Bloom,overall,Overall,1.3103448275862069,0.05814004812997085,232,1.640625,0.08587547364763905,64,0.33028017241379315,125.20559210526316,25.205592105263165,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2025-06,by_status,Fished,1.3028846153846154,0.06235690963685255,208,1.5416666666666667,0.1680811191843469,12,0.23878205128205132,118.32718327183271,18.32718327183271,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2025-06,overall,Overall,1.3103448275862069,0.05814004812997085,232,1.5416666666666667,0.1680811191843469,12,0.2313218390804599,117.65350877192984,17.653508771929836,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-02,by_status,Fished,1.3028846153846154,0.06235690963685255,208,1.1666666666666667,0.22473328748774737,12,-0.13621794871794868,89.54489544895449,-10.455104551045508,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-02,by_status,No-take,1.375,0.15710815069401318,24,1.5,0.2041241452319315,4,0.125,109.09090909090908,9.09090909090908,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-02,overall,Overall,1.3103448275862069,0.05814004812997085,232,1.25,0.1767766952966369,16,-0.06034482758620685,95.39473684210526,-4.60526315789474,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-05,by_status,Fished,1.3028846153846154,0.06235690963685255,208,1.90625,0.11543549204027609,32,0.6033653846153846,146.309963099631,46.309963099631005,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-05,by_status,No-take,1.375,0.15710815069401318,24,1.375,0.125,4,0,100,0,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Arthropoda species richness,period_split,Bloom 2026-05,overall,Overall,1.3103448275862069,0.05814004812997085,232,1.8472222222222223,0.10694057919215766,36,0.5368773946360155,140.97222222222223,40.97222222222223,FALSE,Low
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period,Bloom,by_status,Fished,5.259615384615385,0.11843899545165992,208,1.1875,0.14558575149705086,56,-4.072115384615385,22.577696526508227,-77.42230347349178,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period,Bloom,by_status,No-take,4.4375,0.2176798356981308,24,1.6875,0.4323678576001161,8,-2.75,38.028169014084504,-61.971830985915496,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period,Bloom,overall,Overall,5.174568965517241,0.10967865138643028,232,1.25,0.1386406511768109,64,-3.924568965517241,24.156601416076636,-75.84339858392336,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2025-06,by_status,Fished,5.259615384615385,0.11843899545165992,208,1.7083333333333333,0.32250401297323167,12,-3.551282051282052,32.480195003046916,-67.51980499695308,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2025-06,overall,Overall,5.174568965517241,0.10967865138643028,232,1.7083333333333333,0.32250401297323167,12,-3.466235632183908,33.01402193530473,-66.98597806469527,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-02,by_status,Fished,5.259615384615385,0.11843899545165992,208,1.4583333333333333,0.2496841439041969,12,-3.801282051282052,27.726995734308346,-72.27300426569165,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-02,by_status,No-take,4.4375,0.2176798356981308,24,2.75,0.3227486121839514,4,-1.6875,61.97183098591549,-38.02816901408451,FALSE,Medium
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-02,overall,Overall,5.174568965517241,0.10967865138643028,232,1.78125,0.24566555008791932,16,-3.393318965517241,34.423157017909205,-65.5768429820908,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-05,by_status,Fished,5.259615384615385,0.11843899545165992,208,0.890625,0.19146924366634263,32,-4.368990384615385,16.93327239488117,-83.06672760511883,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-05,by_status,No-take,4.4375,0.2176798356981308,24,0.625,0.125,4,-3.8125,14.084507042253522,-85.91549295774648,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Echinodermata species richness,period_split,Bloom 2026-05,overall,Overall,5.174568965517241,0.10967865138643028,232,0.8611111111111112,0.17091155132823832,36,-4.3134578544061295,16.641214308852796,-83.3587856911472,FALSE,High
region,South Coast,invert_phylum_richness,M2 invertebrate Mollusca species richness,period,Bloom,by_status,Fished,3.141826923076923,0.07779328679455484,208,1.7857142857142858,0.10875411834054692,56,-1.356112637362637,56.83681276642256,-43.16318723357744,FALSE,Medium
region,South Coast,invert_phylum_richness,M2 invertebrate Mollusca species richness,period,Bloom,by_status,No-take,2.8333333333333335,0.2305213582693749,24,2.1875,0.23024637425406477,8,-0.6458333333333335,77.20588235294117,-22.794117647058826,FALSE,Medium
region,South Coast,invert_phylum_richness,M2 invertebrate Mollusca species richness,period,Bloom,overall,Overall,3.1099137931034484,0.07380778522788246,232,1.8359375,0.10025679299264781,64,-1.2739762931034484,59.03499653499653,-40.96500346500347,FALSE,Medium
region,South Coast,invert_phylum_richness,M2 invertebrate Mollusca species richness,period_split,Bloom 2025-06,by_status,Fished,3.141826923076923,0.07779328679455484,208,2.125,0.2959640129639024,12,-1.016826923076923,67.63580719204285,-32.36419280795715,FALSE,Medium
region,South Coast,invert_phylum_richness,M2 invertebrate Mollusca species richness,period_split,Bloom 2025-06,overall,Overall,3.1099137931034484,0.07380778522788246,232,2.125,0.2959640129639024,12,-0.9849137931034484,68.32986832986833,-31.670131670131667,FALSE,Medium
region,South Coast,invert_phylum_richness,M2 invertebrate Mollusca species richness,period_split,Bloom 2026-02,by_status,Fished,3.141826923076923,0.07779328679455484,208,1.375,0.1523179489612356,12,-1.766826923076923,43.76434583014537,-56.23565416985463,FALSE,High
