spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,comparison_scope,status,pre_bloom_mean,pre_bloom_se,n_pre_bloom,comparison_mean,comparison_se,n_comparison,absolute_change,percentage,percentage_change,baseline_zero,impact
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period,Bloom,by_status,Fished,13.58974358974359,0.8591838297185902,117,4.232142857142857,0.522940747790004,28,-9.357600732600734,31.142183288409704,-68.85781671159029,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period,Bloom,by_status,No-take,11.354166666666666,2.1139373522474725,24,6.1875,1.1137833689084886,8,-5.166666666666666,54.49541284403669,-45.50458715596331,FALSE,Medium
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period,Bloom,overall,Overall,13.209219858156029,0.7984622383101877,141,4.666666666666667,0.4879500364742666,36,-8.542553191489361,35.328859060402685,-64.67114093959731,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2025-06,by_status,Fished,13.58974358974359,0.8591838297185902,117,3.8125,0.7496278838768701,8,-9.77724358974359,28.05424528301887,-71.94575471698113,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2025-06,overall,Overall,13.209219858156029,0.7984622383101877,141,3.8125,0.7496278838768701,8,-9.396719858156029,28.86241610738255,-71.13758389261744,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-02,by_status,Fished,13.58974358974359,0.8591838297185902,117,4.625,0.8508574106942557,12,-8.96474358974359,34.03301886792453,-65.96698113207546,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-02,by_status,No-take,11.354166666666666,2.1139373522474725,24,5,1,4,-6.354166666666666,44.03669724770643,-55.96330275229357,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-02,overall,Overall,13.209219858156029,0.7984622383101877,141,4.71875,0.6707718657139201,16,-8.490469858156029,35.7231543624161,-64.2768456375839,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-05,by_status,Fished,13.58974358974359,0.8591838297185902,117,4.0625,1.1666400932347805,8,-9.52724358974359,29.8938679245283,-70.10613207547169,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-05,by_status,No-take,11.354166666666666,2.1139373522474725,24,7.375,1.961876227832259,4,-3.979166666666666,64.95412844036697,-35.04587155963303,FALSE,Medium
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Mollusca abundance,period_split,Bloom 2026-05,overall,Overall,13.209219858156029,0.7984622383101877,141,5.166666666666667,1.071909463989333,12,-8.042553191489361,39.11409395973154,-60.88590604026846,FALSE,High
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Platyhelminthes abundance,period,Bloom,by_status,Fished,0,0,117,0,0,28,0,NA,NA,TRUE,Undefined - pre-bloom zero
