spatial_level,spatial_group,metric_group,metric,comparison_type,comparison_period,pre_bloom_mean_fished,pre_bloom_mean_no_take,pre_bloom_mean_overall,comparison_mean_fished,comparison_mean_no_take,comparison_mean_overall,change_fished,change_no_take,change_overall
location,Eastern Spencer Gulf,total_abundance,M1 fish total abundance,period_split,Bloom 2026-03,22.545454545454547,NA,22.545454545454547,9.791666666666666,NA,9.791666666666666,-56.56922043010753,NA,-56.56922043010753
location,Eastern Spencer Gulf,total_abundance,M2 fish total abundance,period,Bloom,1.8666666666666667,NA,1.8666666666666667,2.4166666666666665,NA,2.4166666666666665,29.464285714285694,NA,29.464285714285694
location,Eastern Spencer Gulf,total_abundance,M2 fish total abundance,period_split,Bloom 2026-03,1.8666666666666667,NA,1.8666666666666667,2.4166666666666665,NA,2.4166666666666665,29.464285714285694,NA,29.464285714285694
location,Eastern Spencer Gulf,total_abundance,M2 invertebrate total abundance,period,Bloom,51.43333333333333,NA,51.43333333333333,7.666666666666667,NA,7.666666666666667,-85.09397278029812,NA,-85.09397278029812
location,Eastern Spencer Gulf,total_abundance,M2 invertebrate total abundance,period_split,Bloom 2026-03,51.43333333333333,NA,51.43333333333333,7.666666666666667,NA,7.666666666666667,-85.09397278029812,NA,-85.09397278029812
location,Encounter Bay,b20,M1 fish B20 biomass,period,Bloom,4.031171312243094,1.3851194552025237,3.744002893649544,2.193040218505591,1.0947023749995042,1.9489651421709049,-45.59794043371227,-20.966933870736554,-47.94434733272573
location,Encounter Bay,b20,M1 fish B20 biomass,period_split,Bloom 2025-06,4.031171312243094,NA,3.744002893649544,4.1719243735776095,NA,4.1719243735776095,3.4916169627183393,NA,11.429517873874829
location,Encounter Bay,b20,M1 fish B20 biomass,period_split,Bloom 2026-02,4.031171312243094,1.3851194552025237,3.744002893649544,1.3248865735093116,2.1894047499990084,1.5410161176317358,-67.13395509921668,58.06613225852689,-58.840413284787864
location,Encounter Bay,b20,M1 fish B20 biomass,period_split,Bloom 2026-05,4.031171312243094,1.3851194552025237,3.744002893649544,1.51638653092799,0,1.0109243539519934,-62.383475831886294,-100,-72.99883620104326
location,Encounter Bay,b20,M2 fish B20 biomass,period,Bloom,0.07040207438050071,0.016239487804179054,0.06118291070793533,0,0,0,-100,-100,-100
location,Encounter Bay,b20,M2 fish B20 biomass,period_split,Bloom 2025-06,0.07040207438050071,NA,0.06118291070793533,0,NA,0,-100,NA,-100
location,Encounter Bay,b20,M2 fish B20 biomass,period_split,Bloom 2026-02,0.07040207438050071,0.016239487804179054,0.06118291070793533,0,0,0,-100,-100,-100
location,Encounter Bay,b20,M2 fish B20 biomass,period_split,Bloom 2026-05,0.07040207438050071,0.016239487804179054,0.06118291070793533,0,0,0,-100,-100,-100
location,Encounter Bay,invert_phylum_abundance,M2 invertebrate Arthropoda abundance,period,Bloom,3.8162393162393164,3.0833333333333335,3.6914893617021276,4.089285714285714,4.75,4.236111111111111,7.154855223164276,54.05405405405406,14.75344220300991
