dataset,dataset_label,location,ordination,available,reason,axis1_label,axis2_label,axis1_percent,axis2_percent,n_events,n_sites,cap_constraint_p
BRUV,BRUVs,Port Gibbon - Port Gibbon Sanctuary Zone,pco,TRUE,,PCoA1 (37.7%),PCoA2 (15.7%),37.7,15.7,12,6,
BRUV,BRUVs,Port Gibbon - Port Gibbon Sanctuary Zone,cap_period,TRUE,,CAP1 - Bloom axis (35.1%),MDS1 - residual axis (15.9%),35.1,15.9,12,6,0.03125
BRUV,BRUVs,Port Gibbon - Port Gibbon Sanctuary Zone,cap_status,TRUE,,CAP1 - Status axis (10.3%),MDS1 - residual axis (37%),10.3,37,12,6,
BRUV,BRUVs,Port Noarlunga - Port Noarlunga Reef Sanctuary Zone,pco,TRUE,,PCoA1 (47.2%),PCoA2 (19.8%),47.2,19.8,10,1,
BRUV,BRUVs,Port Noarlunga - Port Noarlunga Reef Sanctuary Zone,cap_period,TRUE,,CAP1 - Bloom axis (10.9%),MDS1 - residual axis (47.2%),10.9,47.2,10,1,0.505
BRUV,BRUVs,Port Noarlunga - Port Noarlunga Reef Sanctuary Zone,cap_status,FALSE,"CAP could not be fitted - only one Period/Status present, too few sampling events, or not enough residual degrees of freedom. See the console messages from script 13 for the specific reason.",,,,,,,
BRUV,BRUVs,Rapid Head - Rapid Head Sanctuary Zone,pco,TRUE,,PCoA1 (18%),PCoA2 (9.1%),18,9.1,41,6,
BRUV,BRUVs,Rapid Head - Rapid Head Sanctuary Zone,cap_period,TRUE,,CAP1 - Bloom axis (4.8%),MDS1 - residual axis (17.3%),4.8,17.3,41,6,0.001
BRUV,BRUVs,Rapid Head - Rapid Head Sanctuary Zone,cap_status,TRUE,,CAP1 - Status axis (6.1%),MDS1 - residual axis (16.7%),6.1,16.7,41,6,
BRUV,BRUVs,Sponge Gardens - Sponge Gardens Sanctuary Zone,pco,TRUE,,PCoA1 (13.3%),PCoA2 (9.9%),13.3,9.9,42,6,
BRUV,BRUVs,Sponge Gardens - Sponge Gardens Sanctuary Zone,cap_period,TRUE,,CAP1 - Bloom axis (6.9%),MDS1 - residual axis (10.5%),6.9,10.5,42,6,0.001
BRUV,BRUVs,Sponge Gardens - Sponge Gardens Sanctuary Zone,cap_status,TRUE,,CAP1 - Status axis (5.8%),MDS1 - residual axis (12.5%),5.8,12.5,42,6,
BRUV,BRUVs,The Pages - The Pages Sanctuary Zone,pco,TRUE,,PCoA1 (27.3%),PCoA2 (7.3%),27.3,7.3,46,6,
BRUV,BRUVs,The Pages - The Pages Sanctuary Zone,cap_period,TRUE,,CAP1 - Bloom axis (5.8%),MDS1 - residual axis (27.2%),5.8,27.2,46,6,0.001
BRUV,BRUVs,The Pages - The Pages Sanctuary Zone,cap_status,TRUE,,CAP1 - Status axis (2%),MDS1 - residual axis (27.1%),2,27.1,46,6,
BRUV,BRUVs,Victor Harbor - Encounter Bay Sanctuary Zone,pco,TRUE,,PCoA1 (36.1%),PCoA2 (14.9%),36.1,14.9,13,4,
BRUV,BRUVs,Victor Harbor - Encounter Bay Sanctuary Zone,cap_period,TRUE,,CAP1 - Bloom axis (8%),MDS1 - residual axis (35.9%),8,35.9,13,4,0.066
BRUV,BRUVs,Victor Harbor - Encounter Bay Sanctuary Zone,cap_status,TRUE,,CAP1 - Status axis (12.8%),MDS1 - residual axis (32.1%),12.8,32.1,13,4,
BRUV,BRUVs,Windara Reef - Windara Shell fish Reef Sanctuary Zone,pco,TRUE,,PCoA1 (26.6%),PCoA2 (12.5%),26.6,12.5,21,3,
BRUV,BRUVs,Windara Reef - Windara Shell fish Reef Sanctuary Zone,cap_period,TRUE,,CAP1 - Bloom axis (17.7%),MDS1 - residual axis (15.1%),17.7,15.1,21,3,0.008
BRUV,BRUVs,Windara Reef - Windara Shell fish Reef Sanctuary Zone,cap_status,TRUE,,CAP1 - Status axis (8.9%),MDS1 - residual axis (24.9%),8.9,24.9,21,3,
