spatial_level,group_name,method,taxon_key,is_selected
location,Encounter Bay,M2 fish,Trinorfolkia clarkei,TRUE
location,Encounter Bay,M2 fish,Aspasmogaster spp,TRUE
location,Encounter Bay,M2 fish,Trinorfolkia cristata,TRUE
location,Encounter Bay,M2 fish,Vincentia conspersa,TRUE
location,Encounter Bay,M2 fish,Parapriacanthus elongatus,TRUE
location,Encounter Bay,M2 invertebrates,Dicathais orbita,TRUE
location,Encounter Bay,M2 invertebrates,Guinusia chabrus,TRUE
location,Encounter Bay,M2 invertebrates,Jasus edwardsii,TRUE
location,Encounter Bay,M2 invertebrates,Cenolia trichoptera,TRUE
location,Encounter Bay,M2 invertebrates,Haliotis rubra,TRUE
location,Encounter Bay,M2 invertebrates,Meridiastra gunnii,TRUE
location,Encounter Bay,M2 invertebrates,Petricia vernicina,TRUE
location,Encounter Bay,M2 invertebrates,Nectocarcinus tuberculosus,TRUE
location,Encounter Bay,M2 invertebrates,Paguristes spp,TRUE
location,Encounter Bay,M2 invertebrates,Lunella undulata,TRUE
location,Encounter Bay,M2 invertebrates,Heliocidaris erythrogramma,TRUE
location,Encounter Bay,M2 invertebrates,Lunella torquata,TRUE
location,Encounter Bay,M2 invertebrates,Herdmania grandis,TRUE
location,Metro,M1 fish,Thamnaconus degeni,TRUE
location,Metro,M1 fish,Notolabrus parilus,TRUE
location,Metro,M1 fish,Scorpis aequipinnis,TRUE
location,Metro,M1 fish,Cheilodactylus nigripes,TRUE
location,Metro,M1 fish,Acanthaluteres brownii,TRUE
location,Metro,M1 fish,Parma victoriae,TRUE
location,Metro,M1 fish,Aracana ornata,TRUE
location,Metro,M1 fish,Acanthaluteres spilomelanurus,TRUE
location,Metro,M1 fish,Trachinops noarlungae,TRUE
location,Metro,M1 fish,Parapriacanthus elongatus,TRUE
location,Metro,M1 fish,Siphamia cephalotes,TRUE
location,Metro,M1 fish,Pempheris klunzingeri,TRUE
location,Metro,M1 fish,Austrolabrus maculatus,TRUE
location,Metro,M2 fish,Aetapcus maculatus,TRUE
location,Metro,M2 fish,Aploactisoma milesii,TRUE
location,Metro,M2 fish,Aspasmogaster spp,TRUE
location,Metro,M2 fish,Bathygobius krefftii,TRUE
location,Metro,M2 fish,Blenniidae spp,TRUE
location,Metro,M2 fish,Trinorfolkia clarkei,TRUE
location,Metro,M2 fish,Parapercis haackei,TRUE
location,Metro,M2 fish,Helcogramma decurrens,TRUE
location,Metro,M2 fish,Nesogobius spp,TRUE
location,Metro,M2 fish,Eocallionymus papilio,TRUE
location,Metro,M2 fish,Pempheris klunzingeri,TRUE
location,Metro,M2 invertebrates,Paguristes frontalis,TRUE
location,Metro,M2 invertebrates,Haliotis scalaris,TRUE
location,Metro,M2 invertebrates,Paguridae spp,TRUE
location,Metro,M2 invertebrates,Astralium spp,TRUE
location,Metro,M2 invertebrates,Meridiastra gunnii,TRUE
location,Metro,M2 invertebrates,Leptomithrax gaimardii,TRUE
location,Metro,M2 invertebrates,Portunus armatus,TRUE
location,Metro,M2 invertebrates,Nectocarcinus tuberculosus,TRUE
location,Metro,M2 invertebrates,Equichlamys bifrons,TRUE
location,Metro,M2 invertebrates,Haliotis spp,TRUE
location,Rapid Head,M1 fish,Trachinops noarlungae,TRUE
location,Rapid Head,M1 fish,Notolabrus tetricus,TRUE
location,Rapid Head,M1 fish,Scorpis aequipinnis,TRUE
location,Rapid Head,M1 fish,Austrolabrus maculatus,TRUE
location,Rapid Head,M1 fish,Notolabrus parilus,TRUE
location,Rapid Head,M1 fish,Pictilabrus laticlavius,TRUE
location,Rapid Head,M1 fish,Meuschenia hippocrepis,TRUE
location,Rapid Head,M1 fish,Scorpis lineolata,TRUE
location,Rapid Head,M1 fish,Parapriacanthus elongatus,TRUE
location,Rapid Head,M1 fish,Siphamia cephalotes,TRUE
location,Rapid Head,M1 fish,Pempheris klunzingeri,TRUE
location,Rapid Head,M2 fish,Paraplesiops meleagris,TRUE
location,Rapid Head,M2 fish,Trinorfolkia clarkei,TRUE
location,Rapid Head,M2 fish,Aetapcus maculatus,TRUE
location,Rapid Head,M2 fish,Glyptauchen panduratus,TRUE
location,Rapid Head,M2 fish,Helcogramma decurrens,TRUE
location,Rapid Head,M2 fish,Pempheris spp,TRUE
location,Rapid Head,M2 fish,Trinorfolkia cristata,TRUE
location,Rapid Head,M2 fish,Scolecenchelys australis,TRUE
location,Rapid Head,M2 fish,Aploactisoma milesii,TRUE
location,Rapid Head,M2 fish,Aspasmogaster spp,TRUE
location,Rapid Head,M2 fish,Pempheris klunzingeri,TRUE
location,Rapid Head,M2 fish,Pempheris multiradiata,TRUE
location,Rapid Head,M2 fish,Parapriacanthus elongatus,TRUE
location,Rapid Head,M2 invertebrates,Astralium spp,TRUE
location,Rapid Head,M2 invertebrates,Paguristes spp,TRUE
location,Rapid Head,M2 invertebrates,Chlorodiloma odontis,TRUE
location,Rapid Head,M2 invertebrates,Paguristes frontalis,TRUE
location,Rapid Head,M2 invertebrates,Pleuroploca australasia,TRUE
location,Rapid Head,M2 invertebrates,Heliocidaris erythrogramma,TRUE
location,Rapid Head,M2 invertebrates,Paguridae spp,TRUE
location,Rapid Head,M2 invertebrates,Guinusia chabrus,TRUE
location,Rapid Head,M2 invertebrates,Meridiastra gunnii,TRUE
location,Rapid Head,M2 invertebrates,Austrocochlea spp,TRUE
location,Rapid Head,M2 invertebrates,Phasianella australis,TRUE
location,Rapid Head,M2 invertebrates,Pentagonaster duebeni,TRUE
location,Rapid Head,M2 invertebrates,Haliotis rubra,TRUE
location,Southern Fleurieu,M1 fish,Scorpis aequipinnis,TRUE
location,Southern Fleurieu,M1 fish,Notolabrus tetricus,TRUE
location,Southern Fleurieu,M1 fish,Cheilodactylus nigripes,TRUE
location,Southern Fleurieu,M1 fish,Parma victoriae,TRUE
location,Southern Fleurieu,M1 fish,Kyphosus sydneyanus,TRUE
location,Southern Fleurieu,M1 fish,Girella zebra,TRUE
location,Southern Fleurieu,M1 fish,Meuschenia hippocrepis,TRUE
location,Southern Fleurieu,M1 fish,Olisthops cyanomelas,TRUE
location,Southern Fleurieu,M2 fish,Pempheris klunzingeri,TRUE
location,Southern Fleurieu,M2 fish,Aetapcus maculatus,TRUE
location,Southern Fleurieu,M2 fish,Aploactisoma milesii,TRUE
location,Southern Fleurieu,M2 fish,Aspasmogaster spp,TRUE
location,Southern Fleurieu,M2 fish,Bathygobius krefftii,TRUE
location,Southern Fleurieu,M2 fish,Helcogramma decurrens,TRUE
location,Southern Fleurieu,M2 fish,Trinorfolkia clarkei,TRUE
location,Southern Fleurieu,M2 fish,Pempheris multiradiata,TRUE
location,Southern Fleurieu,M2 fish,Hypoplectrodes nigroruber,TRUE
location,Southern Fleurieu,M2 fish,Trachichthys australis,TRUE
location,Southern Fleurieu,M2 invertebrates,Dicathais orbita,TRUE
location,Southern Fleurieu,M2 invertebrates,Haliotis rubra,TRUE
location,Southern Fleurieu,M2 invertebrates,Guinusia chabrus,TRUE
location,Southern Fleurieu,M2 invertebrates,Lunella undulata,TRUE
location,Southern Fleurieu,M2 invertebrates,Tosia australis,TRUE
location,Southern Fleurieu,M2 invertebrates,Paguristes spp,TRUE
location,Southern Fleurieu,M2 invertebrates,Heliocidaris erythrogramma,TRUE
location,Southern Fleurieu,M2 invertebrates,Lunella torquata,TRUE
location,Southern Fleurieu,M2 invertebrates,Cenolia trichoptera,TRUE
location,Southern Metro,M1 fish,Scorpis aequipinnis,TRUE
location,Southern Metro,M1 fish,Notolabrus parilus,TRUE
location,Southern Metro,M1 fish,Kyphosus sydneyanus,TRUE
location,Southern Metro,M1 fish,Girella zebra,TRUE
location,Southern Metro,M1 fish,Trachinops noarlungae,TRUE
location,Southern Metro,M1 fish,Arripis georgianus,TRUE
location,Southern Metro,M1 fish,Austrolabrus maculatus,TRUE
location,Southern Metro,M1 fish,Parapriacanthus elongatus,TRUE
location,Southern Metro,M1 fish,Pempheris klunzingeri,TRUE
location,Southern Metro,M2 fish,Gymnapistes marmoratus,TRUE
location,Southern Metro,M2 fish,Trinorfolkia cristata,TRUE
location,Southern Metro,M2 fish,Helcogramma decurrens,TRUE
location,Southern Metro,M2 fish,Hypoplectrodes nigroruber,TRUE
location,Southern Metro,M2 fish,Aetapcus maculatus,TRUE
location,Southern Metro,M2 fish,Trinorfolkia clarkei,TRUE
location,Southern Metro,M2 fish,Paraplesiops meleagris,TRUE
location,Southern Metro,M2 fish,Pempheris klunzingeri,TRUE
location,Southern Metro,M2 fish,Eocallionymus papilio,TRUE
location,Southern Metro,M2 fish,Parablennius tasmanianus,TRUE
location,Southern Metro,M2 fish,Parapriacanthus elongatus,TRUE
location,Southern Metro,M2 fish,Parapercis haackei,TRUE
location,Southern Metro,M2 fish,Pempheris multiradiata,TRUE
location,Southern Metro,M2 invertebrates,Paguristes frontalis,TRUE
location,Southern Metro,M2 invertebrates,Paguridae spp,TRUE
location,Southern Metro,M2 invertebrates,Pleuroploca australasia,TRUE
location,Southern Metro,M2 invertebrates,Fusinus australis,TRUE
location,Southern Metro,M2 invertebrates,Astralium spp,TRUE
location,Southern Metro,M2 invertebrates,Paguristes spp,TRUE
location,Southern Metro,M2 invertebrates,Dicathais orbita,TRUE
location,Southern Metro,M2 invertebrates,Lunella undulata,TRUE
location,Southern Metro,M2 invertebrates,Heliocidaris erythrogramma,TRUE
location,Southern Metro,M2 invertebrates,Haliotis spp,TRUE
location,Southern Yorke,M1 fish,Neoodax balteatus,TRUE
location,Southern Yorke,M1 fish,Notolabrus parilus,TRUE
location,Southern Yorke,M1 fish,Parma victoriae,TRUE
location,Southern Yorke,M1 fish,Cheilodactylus nigripes,TRUE
location,Southern Yorke,M1 fish,Dactylophora nigricans,TRUE
location,Southern Yorke,M1 fish,Trachinops noarlungae,TRUE
location,Southern Yorke,M1 fish,Scorpis aequipinnis,TRUE
location,Southern Yorke,M1 fish,Kyphosus sydneyanus,TRUE
location,Southern Yorke,M1 fish,Meuschenia hippocrepis,TRUE
location,Southern Yorke,M1 fish,Girella zebra,TRUE
location,Southern Yorke,M1 fish,Tilodon sexfasciatus,TRUE
location,Southern Yorke,M1 fish,Parapriacanthus elongatus,TRUE
location,Southern Yorke,M1 fish,Notolabrus tetricus,TRUE
location,Southern Yorke,M2 fish,Trinorfolkia clarkei,TRUE
location,Southern Yorke,M2 fish,Diodon nicthemerus,TRUE
location,Southern Yorke,M2 fish,Pempheris klunzingeri,TRUE
location,Southern Yorke,M2 fish,Parapercis haackei,TRUE
location,Southern Yorke,M2 fish,Pempheris multiradiata,TRUE
location,Southern Yorke,M2 fish,Helcogramma decurrens,TRUE
location,Southern Yorke,M2 fish,Leviprora inops,TRUE
location,Southern Yorke,M2 fish,Trinorfolkia cristata,TRUE
location,Southern Yorke,M2 fish,Gobiidae spp,TRUE
location,Southern Yorke,M2 fish,Tripterygiidae spp,TRUE
location,Southern Yorke,M2 fish,Aetapcus maculatus,TRUE
location,Southern Yorke,M2 invertebrates,Meridiastra gunnii,TRUE
location,Southern Yorke,M2 invertebrates,Dicathais orbita,TRUE
location,Southern Yorke,M2 invertebrates,Bulla quoyii,TRUE
location,Southern Yorke,M2 invertebrates,Haliotis laevigata,TRUE
location,Southern Yorke,M2 invertebrates,Tosia australis,TRUE
location,Southern Yorke,M2 invertebrates,Guinusia chabrus,TRUE
location,Southern Yorke,M2 invertebrates,Cenolia trichoptera,TRUE
location,Southern Yorke,M2 invertebrates,Heliocidaris erythrogramma,TRUE
location,Southern Yorke,M2 invertebrates,Petricia vernicina,TRUE
location,Southern Yorke,M2 invertebrates,Paguristes frontalis,TRUE
location,Southern Yorke,M2 invertebrates,Australostichopus mollis,TRUE
location,Sponge Gardens,M1 fish,Scorpis aequipinnis,TRUE
location,Sponge Gardens,M1 fish,Notolabrus tetricus,TRUE
location,Sponge Gardens,M1 fish,Pictilabrus laticlavius,TRUE
location,Sponge Gardens,M1 fish,Cheilodactylus nigripes,TRUE
location,Sponge Gardens,M1 fish,Kyphosus sydneyanus,TRUE
location,Sponge Gardens,M1 fish,Trachinops noarlungae,TRUE
location,Sponge Gardens,M1 fish,Parapriacanthus elongatus,TRUE
location,Sponge Gardens,M1 fish,Siphonognathus beddomei,TRUE
location,Sponge Gardens,M1 fish,Pempheris multiradiata,TRUE
location,Sponge Gardens,M2 fish,Pempheris multiradiata,TRUE
location,Sponge Gardens,M2 fish,Paraplesiops meleagris,TRUE
location,Sponge Gardens,M2 fish,Hypoplectrodes nigroruber,TRUE
location,Sponge Gardens,M2 fish,Genypterus tigerinus,TRUE
location,Sponge Gardens,M2 fish,Glyptauchen panduratus,TRUE
location,Sponge Gardens,M2 fish,Trinorfolkia cristata,TRUE
location,Sponge Gardens,M2 fish,Bovichtus angustifrons,TRUE
location,Sponge Gardens,M2 fish,Helcogramma decurrens,TRUE
location,Sponge Gardens,M2 fish,Parapriacanthus elongatus,TRUE
location,Sponge Gardens,M2 fish,Pempheris ornata,TRUE
location,Sponge Gardens,M2 fish,Othos dentex,TRUE
location,Sponge Gardens,M2 invertebrates,Astralium spp,TRUE
location,Sponge Gardens,M2 invertebrates,Guinusia chabrus,TRUE
location,Sponge Gardens,M2 invertebrates,Cenolia trichoptera,TRUE
location,Sponge Gardens,M2 invertebrates,Paguristes spp,TRUE
location,Sponge Gardens,M2 invertebrates,Paguridae spp,TRUE
location,Sponge Gardens,M2 invertebrates,Dicathais orbita,TRUE
location,Sponge Gardens,M2 invertebrates,Pleuroploca australasia,TRUE
location,Sponge Gardens,M2 invertebrates,Heliocidaris erythrogramma,TRUE
location,Sponge Gardens,M2 invertebrates,Petricia vernicina,TRUE
location,Sponge Gardens,M2 invertebrates,Lunella torquata,TRUE
location,Upper GSV,M1 fish,Arripis truttaceus,TRUE
location,Upper GSV,M1 fish,Neoodax balteatus,TRUE
location,Upper GSV,M1 fish,Aracana ornata,TRUE
location,Upper GSV,M1 fish,Acanthaluteres brownii,TRUE
location,Upper GSV,M1 fish,Acanthaluteres spilomelanurus,TRUE
location,Upper GSV,M1 fish,Acanthopagrus butcheri,TRUE
location,Upper GSV,M1 fish,Girella zebra,TRUE
location,Upper GSV,M1 fish,Kyphosus sydneyanus,TRUE
location,Upper GSV,M1 fish,Pempheris klunzingeri,TRUE
location,Upper GSV,M1 fish,Enoplosus armatus,TRUE
location,Upper GSV,M1 fish,Pseudocaranx spp,TRUE
location,Upper GSV,M1 fish,Sillaginidae spp,TRUE
location,Upper GSV,M1 fish,Chrysophrys auratus,TRUE
location,Upper GSV,M1 fish,Siphamia cephalotes,TRUE
location,Upper GSV,M1 fish,Parapriacanthus elongatus,TRUE
location,Upper GSV,M1 fish,Trachinops noarlungae,TRUE
location,Upper GSV,M2 fish,Parapercis haackei,TRUE
location,Upper GSV,M2 fish,Gobiidae spp,TRUE
location,Upper GSV,M2 fish,Aetapcus maculatus,TRUE
location,Upper GSV,M2 fish,Aploactisoma milesii,TRUE
location,Upper GSV,M2 fish,Aspasmogaster spp,TRUE
location,Upper GSV,M2 fish,Pempheris klunzingeri,TRUE
location,Upper GSV,M2 fish,Trinorfolkia clarkei,TRUE
location,Upper GSV,M2 fish,Trinorfolkia cristata,TRUE
location,Upper GSV,M2 fish,Diodon nicthemerus,TRUE
location,Upper GSV,M2 fish,Eocallionymus papilio,TRUE
location,Upper GSV,M2 fish,Nesogobius spp,TRUE
location,Upper GSV,M2 fish,Helcogramma decurrens,TRUE
location,Upper GSV,M2 invertebrates,Astralium spp,TRUE
location,Upper GSV,M2 invertebrates,Haliotis cyclobates,TRUE
location,Upper GSV,M2 invertebrates,Haliotis laevigata,TRUE
location,Upper GSV,M2 invertebrates,Paguristes frontalis,TRUE
location,Upper GSV,M2 invertebrates,Haliotis scalaris,TRUE
location,Upper GSV,M2 invertebrates,Portunus armatus,TRUE
location,Upper GSV,M2 invertebrates,Leptomithrax gaimardii,TRUE
location,Upper GSV,M2 invertebrates,Nectocarcinus tuberculosus,TRUE
location,Upper GSV,M2 invertebrates,Acrosterigma cygnorum,TRUE
location,Upper GSV,M2 invertebrates,Aeolidiidae spp,TRUE
location,Upper GSV,M2 invertebrates,Paguridae spp,TRUE
location,Upper GSV,M2 invertebrates,Equichlamys bifrons,TRUE
location,Upper GSV,M2 invertebrates,Guinusia chabrus,TRUE
location,Upper GSV,M2 invertebrates,Australostichopus mollis,TRUE
location,Upper GSV,M2 invertebrates,Tosia australis,TRUE
