"reporting_name","metric","model_type","formula","family_used","fallback_used","fallback_reason","model_ok","model_issue","nbinom2_dispersion"
"Middle/Long Spit - Middle Spit Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 29739000",TRUE,NA,29739338.051951755
"O'Sullivan","Shark and ray richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 36502000",TRUE,NA,36501850.62841121
"O'Sullivan","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 542860000",TRUE,NA,542857604.12077
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 37622000",TRUE,NA,37622083.17916842
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 114610000",TRUE,NA,114612594.83063927
"Orcades Bank - Orcades Bank Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ 1","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 177140000",TRUE,NA,177143822.22811195
"Orcades Bank - Orcades Bank Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ 1","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 177140000",TRUE,NA,177143822.22811195
"Port Gibbon - Port Gibbon Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 68642000",TRUE,NA,68642037.67518382
"Port Gibbon - Port Gibbon Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 68642000",TRUE,NA,68642037.67518382
"Rapid Head - Rapid Head Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 60700000",TRUE,NA,60700235.82013304
"Rapid Head - Rapid Head Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"non-positive-definite Hessian; large nbinom2 dispersion: 28808000",TRUE,NA,28807822.738755018
"The Pages - The Pages Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 34559000",TRUE,NA,34559100.58932664
"The Pages - The Pages Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 18387000",TRUE,NA,18386607.56123994
"Victor Harbor - Encounter Bay Sanctuary Zone","Shark and ray richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 2435800000",TRUE,NA,2435837680.5761147
"Victor Harbor - Encounter Bay Sanctuary Zone","Shark and ray richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)","poisson",TRUE,"large nbinom2 dispersion: 39679000",TRUE,NA,39678839.429865286
