"Period","Status","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","family_selection_reason","1","metric_id"
"Bloom","Fished",19.746536171782466,12.954323009663772,Inf,5.458546978234147,71.43397177643331,"Glenelg","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",24.694447401720883,6.055721103002428,Inf,15.270826530900353,39.933380897386506,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",68.21714205265471,28.891680754187135,Inf,29.7432342614969,156.4583874409449,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",27.19475336993788,8.255969006139303,Inf,14.999319121482626,49.30587881102736,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",263.3888406618438,120.68816188968718,Inf,107.29163205232945,646.589860347678,"Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",43.90952843525387,14.813698122296291,Inf,22.666792114181472,85.06041250539754,"O'Sullivan","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",56.220792637586136,26.594226334982284,Inf,22.24597842474823,142.08309764798443,"O'Sullivan","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",98.01841010327439,13.760268643966825,Inf,74.4409871151064,129.0634244857293,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",122.19402571704634,29.433666642206585,Inf,76.21062838104606,195.92254043993276,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",53.24144363027182,6.9876575774241605,Inf,41.165569416213685,68.85976217588626,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",92.0551557676655,22.259744574598486,Inf,57.308641495800394,147.8686543988335,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",34.166666678378725,4.6264126591046555,Inf,26.20256418227189,44.55140740390772,"Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary","overall","total_abundance"
"Pre-bloom","Fished",15.12436295289773,4.025876072211936,Inf,8.976357643668111,25.483204191662544,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",31.199569661055495,8.856857992971802,Inf,17.885932147573325,54.42339482245673,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",24.81074665741244,6.29547839962886,Inf,15.088844062325798,40.79657441985771,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",39.35260816929894,9.913741947207546,Inf,24.018070596107243,64.47760920385372,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",47.95716949992095,9.775895470223668,Inf,32.1617141745492,71.5101842508177,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",28.888689476645833,13.981445505012074,Inf,11.188357525027657,74.5915008356872,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",27.65098291001868,4.911231945043714,Inf,19.52200102219668,39.16488145968309,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",25.61888292764237,6.984402662686064,Inf,15.014108526907636,43.714028127877505,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",34.02323319163843,6.022256863156092,Inf,24.049679400287918,48.13288266947745,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",27.11773190569058,7.378571647128922,Inf,15.909134217497744,46.22321828802643,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",44.45633626784105,3.843742976021816,Inf,37.52648278903873,52.66589585466412,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",48.68993610483852,6.90159825869802,Inf,36.87948820585432,64.28261326893704,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",42.2564578608854,3.6962953836653654,Inf,35.59885361234332,50.15914979716238,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",54.914969110688645,7.913682873530739,Inf,41.402431359830445,72.83760236732721,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",50.23006508843711,10.825103561847419,Inf,32.92463124344139,76.63136513613112,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",57.502826677172486,15.14846874215358,Inf,34.312296269070814,96.36705890900966,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",42.01518777539496,9.041626815113517,Inf,27.55678700332045,64.05957282280373,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",64.09285221377483,16.76548337369214,Inf,38.38409466669972,107.02072669856666,"The Pages - The Pages Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",27.99999953348098,4.238446774575257,Inf,20.81176946038593,37.67099070394934,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",39.562500101923874,5.026636842325127,Inf,30.841380764662937,50.749719224895166,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","No-take",38.66666670433329,9.268944272120082,Inf,24.170840009139894,61.85598487510733,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","No-take",33.62500027355413,8.58132189172303,Inf,20.390601980065632,55.44910564689841,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",36.77898482768958,6.723133713683365,Inf,25.704052126994462,52.6256995695561,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Bloom","Fished",75.71317818666552,33.76120442099604,Inf,31.59459978516412,181.43877086924098,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"total_abundance"
"Pre-bloom","Fished",8.448249994276962,0.8022742288103929,Inf,7.013483761192194,10.176530009341365,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","Fished",6.32968449480577,1.1940953974297936,Inf,4.3732352067496745,9.161388287999737,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","No-take",12.098360597142788,0.8243829126600779,Inf,10.585846880393243,13.82698340456818,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Bloom","No-take",9.333042945081484,1.6526092743614123,Inf,6.596299035914723,13.205236776027412,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness","Negative binomial (nbinom2)","nbinom2","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",NA,"richness"
"Pre-bloom","Fished",5.95761658888316,0.8368361929483444,Inf,4.523854054179959,7.845787020326338,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Bloom","Fished",4.394230286924202,1.0739123467961607,Inf,2.7218013607834735,7.094294276112701,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Pre-bloom","No-take",5.850209529476426,0.8253646472380077,Inf,4.436918190312999,7.713676491376195,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Bloom","No-take",6.954190613058564,1.5978012155990537,Inf,4.432755148639928,10.909866541487192,"Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson","poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",NA,"richness"
"Pre-bloom","Fished",6.46718785879118,1.0193055407521414,Inf,4.748495312884814,8.807952002691723,"Boston Bay","Species richness","Poisson","poisson","Poisson fallback used because the negative binomial fit did not provide a reliable Hessian and standard errors; the Poisson dispersion check was acceptable",NA,"richness"
"Bloom","Fished",6.24334598028838,1.2007600454549445,Inf,4.282613706898672,9.10177095048123,"Boston Bay","Species richness","Poisson","poisson","Poisson fallback used because the negative binomial fit did not provide a reliable Hessian and standard errors; the Poisson dispersion check was acceptable",NA,"richness"
"Pre-bloom","Fished",8.75000000000406,0.8539124984889545,Inf,7.2266878231541405,10.594410866173936,"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson","poisson","Poisson fallback used because the negative binomial fit did not provide a reliable Hessian and standard errors; the Poisson dispersion check was acceptable",NA,"richness"
