"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","1","metric_id"
"Bloom",55.87001406754705,27.301456488489503,Inf,21.440277384583172,145.58853021894296,"O'Sullivan","Total abundance",NA,"total_abundance"
"Pre-bloom",60.04025447014999,5.848333190500503,Inf,49.60547895264289,72.67004034537815,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",105.22342869345867,15.479877022286683,Inf,78.86575797787135,140.39007840530772,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",34.16666666666665,4.626412661646988,Inf,26.202564167084684,44.551407399186274,"Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","overall","total_abundance"
"Pre-bloom",19.371274515036465,3.5982408194997118,Inf,13.460039709008301,27.878541553318218,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",35.039751212740065,6.770497290860269,Inf,23.99324674043015,51.172072639165776,"Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",51.09039141395343,11.199409349602142,Inf,33.24675488005372,78.51076305786955,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",28.711103359203808,12.499580155619682,Inf,12.23131983374387,67.39480835328355,"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",30.6720693714261,4.103114527021804,Inf,23.597975424598562,39.86680308790003,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",26.35765541460543,5.90143009773812,Inf,16.995123749238093,40.87796059656371,"Rapid Head - Rapid Head Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",43.34244224950154,3.2897919229413715,Inf,37.35125573761844,50.29462231063281,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",51.70886130247514,6.528721740580662,Inf,40.37317560244284,66.22729813299176,"Sponge Gardens - Sponge Gardens Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",45.93936891883689,8.187625178281374,Inf,32.395010584573775,65.14662531599738,"The Pages - The Pages Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",60.708485173773866,13.481531719981035,Inf,39.28466841277368,93.81573832747306,"The Pages - The Pages Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",32.90390021992221,4.664255653609204,Inf,24.922192989537198,43.44186926636513,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",36.47312814593334,5.1989732347320885,Inf,27.582940419050615,48.22868978214116,"Victor Harbor - Encounter Bay Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",36.77898482768958,6.723133713683365,Inf,25.704052126994462,52.6256995695561,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Bloom",75.71317818666552,33.76120442099604,Inf,31.59459978516412,181.43877086924098,"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Total abundance",NA,"total_abundance"
"Pre-bloom",10.109894441680607,0.6533915745339894,Inf,8.907060113467796,11.47516288425844,"Aldinga - Aldinga Reef Sanctuary Zone","Species richness",NA,"richness"
