"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","selection_reason","selected_model_valid","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","nb_valid","nb_converged","nb_pdHess","nb_finite_standard_errors","nb_theta","nb_at_poisson_boundary","nb_AIC","nb_logLik","nb_warnings","nb_error","poisson_valid","poisson_converged","poisson_pdHess","poisson_finite_standard_errors","poisson_dispersion_ratio","poisson_dispersion_ok","poisson_AIC","poisson_logLik","poisson_minus_nb_AIC","poisson_warnings","poisson_error","model_error"
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",19,2,2,2,4,NA,NA,"Neither family passed the required checks",FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,1.044477461323921,FALSE,NA,NA,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')",NA,FALSE,TRUE,FALSE,TRUE,1.9389610391172594,FALSE,NA,NA,NA,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')",NA,"Negative binomial Hessian was not positive definite | Poisson Hessian was not positive definite"
"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",19,2,2,2,4,NA,NA,"Neither family passed the required checks",FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,1.044477461323921,FALSE,NA,NA,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')",NA,FALSE,TRUE,FALSE,TRUE,1.9389610391172594,FALSE,NA,NA,NA,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')",NA,"Negative binomial Hessian was not positive definite | Poisson Hessian was not positive definite"
"Port Gibbon - Port Gibbon Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | uwa_site_code)",41,2,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,137.71184436381168,-62.85592218190583,TRUE,TRUE,TRUE,TRUE,8.68025934941377,FALSE,137.71184436381168,-62.85592218190583,NA,NA,TRUE,TRUE,TRUE,TRUE,1.1595021202795204,TRUE,136.25778452238484,-63.128892261192426,-1.4540598414268402,NA,NA,NA
"Port Gibbon - Port Gibbon Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",41,2,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,137.71184436381168,-62.85592218190583,TRUE,TRUE,TRUE,TRUE,8.68025934941377,FALSE,137.71184436381168,-62.85592218190583,NA,NA,TRUE,TRUE,TRUE,TRUE,1.1595021202795204,TRUE,136.25778452238484,-63.128892261192426,-1.4540598414268402,NA,NA,NA
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct)",19,5,2,1,1,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,107.36448375420727,-49.682241877103635,TRUE,TRUE,TRUE,TRUE,43.986740155704524,FALSE,107.36448375420727,-49.682241877103635,NA,NA,TRUE,TRUE,TRUE,TRUE,1.671590910690901,FALSE,105.52078643120257,-49.76039321560128,-1.8436973230047045,NA,NA,NA
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct",19,5,2,1,1,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,110.98905068302847,-49.49452534151423,TRUE,TRUE,TRUE,TRUE,57.728847468986075,FALSE,110.98905068302847,-49.49452534151423,NA,NA,TRUE,TRUE,TRUE,TRUE,1.8823144436897012,FALSE,109.08051922405245,-49.540259612026226,-1.9085314589760145,NA,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",143,7,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,896.7228006259872,-441.3614003129936,TRUE,TRUE,TRUE,TRUE,3.171745319802687,FALSE,896.7228006259872,-441.3614003129936,NA,NA,TRUE,TRUE,TRUE,TRUE,3.4071272474830514,FALSE,1073.049349197381,-530.5246745986905,176.3265485713937,NA,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",143,7,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,911.7112426190927,-439.85562130954634,TRUE,TRUE,TRUE,TRUE,3.2770761784481652,FALSE,911.7112426190927,-439.85562130954634,NA,NA,TRUE,TRUE,TRUE,TRUE,3.59155426498108,FALSE,1077.818251953402,-523.909125976701,166.1070093343094,NA,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",153,8,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,1025.6880847119369,-505.8440423559685,TRUE,TRUE,TRUE,TRUE,4.426306516150832,FALSE,1025.6880847119369,-505.8440423559685,NA,NA,TRUE,TRUE,TRUE,TRUE,3.3093203858106723,FALSE,1208.3209126614927,-598.1604563307463,182.6328279495558,NA,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",153,8,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,1025.308319297104,-494.654159648552,TRUE,TRUE,TRUE,TRUE,5.213258904875669,FALSE,1025.308319297104,-494.654159648552,NA,NA,TRUE,TRUE,TRUE,TRUE,3.3558175264823924,FALSE,1174.847535103714,-570.423767551857,149.53921580661017,NA,NA,NA
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",163,8,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,981.0991992058257,-483.54959960291285,TRUE,TRUE,TRUE,TRUE,3.3646584163670825,FALSE,981.0991992058257,-483.54959960291285,NA,NA,TRUE,TRUE,TRUE,TRUE,2.8796424690083757,FALSE,1134.8151223904952,-561.4075611952476,153.71592318466946,NA,NA,NA
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",163,8,2,2,6,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,975.2449041675266,-469.6224520837633,TRUE,TRUE,TRUE,TRUE,4.000041034125224,FALSE,975.2449041675266,-469.6224520837633,NA,NA,TRUE,TRUE,TRUE,TRUE,2.928035805617652,FALSE,1101.9032240815977,-533.9516120407989,126.65831991407117,NA,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | start_date_fct) + (1 |     uwa_site_code)",40,2,1,2,4,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,235.3696014435721,-112.68480072178605,TRUE,TRUE,TRUE,TRUE,4.818981865489035,FALSE,235.3696014435721,-112.68480072178605,NA,NA,TRUE,TRUE,TRUE,TRUE,2.350521341984475,FALSE,247.4770734532873,-119.73853672664364,12.107472009715195,NA,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",40,2,1,2,4,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,232.95508892548682,-110.47754446274341,TRUE,TRUE,TRUE,TRUE,5.932060085134803,FALSE,232.95508892548682,-110.47754446274341,NA,NA,TRUE,TRUE,TRUE,TRUE,2.331581160734132,FALSE,241.73166790236158,-115.86583395118079,8.77657897687476,NA,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",78,7,2,1,3,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,210.76484546358284,-100.38242273179142,TRUE,TRUE,TRUE,TRUE,1.1488769681955313,FALSE,210.76484546358284,-100.38242273179142,NA,NA,TRUE,TRUE,TRUE,TRUE,1.6194039975958758,FALSE,222.60730213678121,-107.30365106839061,11.84245667319837,NA,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",78,7,2,1,3,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,209.81161864483855,-95.90580932241927,TRUE,TRUE,TRUE,TRUE,1.5285169423279092,FALSE,209.81161864483855,-95.90580932241927,NA,NA,TRUE,TRUE,TRUE,TRUE,1.726140155712032,FALSE,218.79988124344752,-101.39994062172376,8.98826259860897,NA,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",125,9,2,2,3,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,681.29633414084185,-333.6481670704209,TRUE,TRUE,TRUE,TRUE,2.397067327944056,FALSE,681.29633414084185,-333.6481670704209,NA,NA,TRUE,TRUE,TRUE,TRUE,2.4561069277989245,FALSE,753.4371620772464,-370.7185810386232,72.14082793640455,NA,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",125,9,2,2,3,"nbinom2","Negative binomial (nbinom2)","Negative binomial converged with finite uncertainty and did not approach the Poisson boundary",TRUE,TRUE,TRUE,686.2275020694836,-332.1137510347418,TRUE,TRUE,TRUE,TRUE,2.5684927607965595,FALSE,686.2275020694836,-332.1137510347418,NA,NA,TRUE,TRUE,TRUE,TRUE,2.6255143624057475,FALSE,755.2942838499001,-367.64714192495006,69.06678178041648,NA,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",96,4,2,2,6,"poisson","Poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",TRUE,TRUE,TRUE,155.35876338932647,-71.67938169466323,TRUE,TRUE,TRUE,TRUE,6478883.638095516,TRUE,157.35876359956833,-71.67938179978417,NA,NA,TRUE,TRUE,TRUE,TRUE,0.9927065852944518,TRUE,155.35876338932647,-71.67938169466323,-2.000000210241865,NA,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",96,4,2,2,6,"poisson","Poisson","Poisson used because the negative binomial dispersion parameter approached the Poisson boundary and the simpler Poisson model passed convergence, uncertainty, dispersion and AIC checks",TRUE,TRUE,TRUE,149.9509794274746,-65.9754897137373,TRUE,TRUE,TRUE,TRUE,10276023.380572416,TRUE,151.9509799145639,-65.97548995728195,NA,NA,TRUE,TRUE,TRUE,TRUE,1.0071250388338413,TRUE,149.9509794274746,-65.9754897137373,-2.000000487089295,NA,NA,NA
