"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","requested_family_code","family_code","selected_family","link","selection_reason","poisson_dispersion_ratio","dispersion_threshold","poisson_overdispersed","poisson_valid","poisson_AIC","poisson_warnings","poisson_error","nbinom2_fitted","nbinom2_valid","nbinom2_AIC","nbinom2_theta","nbinom2_warnings","nbinom2_error","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","model_warnings","model_error","fixed_effect_structure","structure_reason","n_all_zero_period_status_cells","missing_period_status_cell"
"Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct",19,5,2,1,1,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.882, greater than the threshold of 1.5",1.8823144436897012,1.5,TRUE,TRUE,109.08051922405245,NA,NA,TRUE,TRUE,110.98905068302847,57.728847468986075,NA,NA,TRUE,TRUE,TRUE,TRUE,110.98905068302847,-49.49452534151423,NA,NA,NA,NA,NA,NA
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",143,7,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.407, greater than the threshold of 1.5",3.4071272474830514,1.5,TRUE,TRUE,1073.049349197381,NA,NA,TRUE,TRUE,896.7228006259872,3.171745319802687,NA,NA,TRUE,TRUE,TRUE,TRUE,896.7228006259872,-441.3614003129936,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",143,7,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.592, greater than the threshold of 1.5",3.59155426498108,1.5,TRUE,TRUE,1077.818251953402,NA,NA,TRUE,TRUE,911.7112426190927,3.2770761784481652,NA,NA,TRUE,TRUE,TRUE,TRUE,911.7112426190927,-439.85562130954634,NA,NA,NA,NA,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",153,8,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.309, greater than the threshold of 1.5",3.3093203858106723,1.5,TRUE,TRUE,1208.3209126614927,NA,NA,TRUE,TRUE,1025.6880847119369,4.426306516150832,NA,NA,TRUE,TRUE,TRUE,TRUE,1025.6880847119369,-505.8440423559685,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",153,8,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.356, greater than the threshold of 1.5",3.3558175264823924,1.5,TRUE,TRUE,1174.847535103714,NA,NA,TRUE,TRUE,1025.308319297104,5.213258904875669,NA,NA,TRUE,TRUE,TRUE,TRUE,1025.308319297104,-494.654159648552,NA,NA,NA,NA,NA,NA
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",163,8,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.88, greater than the threshold of 1.5",2.8796424690083757,1.5,TRUE,TRUE,1134.8151223904952,NA,NA,TRUE,TRUE,981.0991992058257,3.3646584163670825,NA,NA,TRUE,TRUE,TRUE,TRUE,981.0991992058257,-483.54959960291285,NA,NA,"Period * Status","Full Period x Status interaction used",0,FALSE
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",163,8,2,2,6,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.928, greater than the threshold of 1.5",2.928035805617652,1.5,TRUE,TRUE,1101.9032240815977,NA,NA,TRUE,TRUE,975.2449041675266,4.000041034125224,NA,NA,TRUE,TRUE,TRUE,TRUE,975.2449041675266,-469.6224520837633,NA,NA,NA,NA,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | start_date_fct) + (1 |     uwa_site_code)",40,2,1,2,4,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.351, greater than the threshold of 1.5",2.350521341984475,1.5,TRUE,TRUE,247.4770734532873,NA,NA,TRUE,TRUE,235.3696014435721,4.818981865489035,NA,NA,TRUE,TRUE,TRUE,TRUE,235.3696014435721,-112.68480072178605,NA,NA,"Status","Status-only fixed effect used",0,FALSE
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",40,2,1,2,4,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.332, greater than the threshold of 1.5",2.331581160734132,1.5,TRUE,TRUE,241.73166790236158,NA,NA,TRUE,TRUE,232.95508892548682,5.932060085134803,NA,NA,TRUE,TRUE,TRUE,TRUE,232.95508892548682,-110.47754446274341,NA,NA,NA,NA,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",78,7,2,1,3,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.619, greater than the threshold of 1.5",1.6194039975958758,1.5,TRUE,TRUE,222.60730213678121,NA,NA,TRUE,TRUE,210.76484546358284,1.1488769681955313,NA,NA,TRUE,TRUE,TRUE,TRUE,210.76484546358284,-100.38242273179142,NA,NA,"Period","Period-only fixed effect used",0,FALSE
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",78,7,2,1,3,"auto_count","nbinom2","Negative binomial nbinom2 (log link)","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.726, greater than the threshold of 1.5",1.726140155712032,1.5,TRUE,TRUE,218.79988124344752,NA,NA,TRUE,TRUE,209.81161864483855,1.5285169423279092,NA,NA,TRUE,TRUE,TRUE,TRUE,209.81161864483855,-95.90580932241927,NA,NA,NA,NA,NA,NA
