id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1
Haycock Point_2,Haycock Point,Fished,Pre-bloom,2,2006-02-23,-0.8499226780613428,-0.9703373192090665
Haycock Point_3,Haycock Point,Fished,Pre-bloom,3,2007-02-22,-0.8200203113962649,-0.5966520160348503
Haycock Point_5,Haycock Point,Fished,Pre-bloom,5,2011-02-02,-0.6603202437242743,-1.0535792094642746
Haycock Point_6,Haycock Point,Fished,Pre-bloom,6,2012-02-01,-0.5880552166498069,-0.7089623309426498
Haycock Point_9,Haycock Point,Fished,Pre-bloom,9,2014-01-18,-0.2496512275325418,-0.6556028953285453
Haycock Point_19,Haycock Point,Fished,Bloom,19,2026-01-13,1.7498767307673593,-0.9680502748571086
Lady Bay_11,Lady Bay,Fished,Pre-bloom,11,2017-02-14,0.3855382954384952,-0.7419141854796704
Lady Bay_12,Lady Bay,Fished,Pre-bloom,12,2018-02-06,0.2627361937325827,-0.7725053062243061
Lady Bay_19,Lady Bay,Fished,Bloom,19,2026-01-13,1.3694340130357763,-1.0527626373241719
Myponga_11,Myponga,Fished,Pre-bloom,11,2017-02-14,0.05364852900054012,-0.365312485212716
Myponga_12,Myponga,Fished,Pre-bloom,12,2018-02-06,0.09455514116032189,-0.19477247362890757
Myponga_14,Myponga,Fished,Pre-bloom,14,2020-02-09,0.06947952066591093,-0.07090404994878757
Myponga_19,Myponga,Fished,Bloom,19,2026-01-13,1.6145418544383925,-0.5713557184434019
Myponga South_1,Myponga South,No-take,Pre-bloom,1,2005-03-08,-0.24984856676463843,0.16919189400400533
Myponga South_2,Myponga South,No-take,Pre-bloom,2,2006-02-23,-0.44969883967376434,1.5106657204123113
Myponga South_3,Myponga South,No-take,Pre-bloom,3,2007-02-22,-0.449098357965225,0.8969853013551448
Myponga South_6,Myponga South,No-take,Pre-bloom,6,2012-02-01,-0.12108796679137131,1.0856492976408016
Myponga South_10,Myponga South,No-take,Pre-bloom,10,2016-02-09,-0.054736278211405455,0.13881053332156096
Myponga South_11,Myponga South,No-take,Pre-bloom,11,2017-02-14,-0.33143488378102404,0.628075775999838
Myponga South_12,Myponga South,No-take,Pre-bloom,12,2018-02-06,-0.24808369338434658,1.0047521480258097
Myponga South_13,Myponga South,No-take,Pre-bloom,13,2019-02-19,-0.14130897339493562,-0.02402373477013743
Myponga South_14,Myponga South,No-take,Pre-bloom,14,2020-02-09,-0.27903574463655734,1.0978989777594417
Myponga South_15,Myponga South,No-take,Pre-bloom,15,2021-03-10,0.008924319212651246,0.05433728612705742
Myponga South_19,Myponga South,No-take,Bloom,19,2026-01-13,1.6533808363647446,0.594831326002248
Normanville Beach_7,Normanville Beach,Fished,Pre-bloom,7,2012-11-23,0.22820915681758483,-0.9131367390268816
Normanville Beach_8,Normanville Beach,Fished,Pre-bloom,8,2013-02-28,0.04969412430417588,-0.8144983093256806
Normanville Beach_11,Normanville Beach,Fished,Pre-bloom,11,2017-02-14,0.08445103960529345,-0.7675662314924396
Normanville Beach_12,Normanville Beach,Fished,Pre-bloom,12,2018-02-06,0.5493357393787747,-1.2652542418743618
Normanville Beach_19,Normanville Beach,Fished,Bloom,19,2026-01-13,1.6766389574157718,-1.1776267472510087
Ripple Rock_1,Ripple Rock,No-take,Pre-bloom,1,2005-03-08,-0.7688377245336154,1.2264250526452998
Ripple Rock_2,Ripple Rock,No-take,Pre-bloom,2,2006-02-23,-0.9174874867077435,1.3014005960046937
Ripple Rock_3,Ripple Rock,No-take,Pre-bloom,3,2007-02-22,-0.7381464312078008,1.2403835445049616
Ripple Rock_10,Ripple Rock,No-take,Pre-bloom,10,2016-02-09,-0.035946763811774425,0.40624682781038557
Ripple Rock_11,Ripple Rock,No-take,Pre-bloom,11,2017-02-14,-0.17904559002080903,0.3457155893086379
Ripple Rock_12,Ripple Rock,No-take,Pre-bloom,12,2018-02-06,-0.5858078475951112,0.8520580287318998
Ripple Rock_13,Ripple Rock,No-take,Pre-bloom,13,2019-02-19,-0.29985999156251825,0.6197038812741205
Ripple Rock_14,Ripple Rock,No-take,Pre-bloom,14,2020-02-09,-0.26188777679519343,0.5589002760330171
Ripple Rock_15,Ripple Rock,No-take,Pre-bloom,15,2021-03-10,-0.20866688499916944,0.6711842125171139
Ripple Rock_16,Ripple Rock,No-take,Pre-bloom,16,2023-02-20,-0.1631658711221533,0.605771173923092
Ripple Rock_19,Ripple Rock,No-take,Bloom,19,2026-01-13,2.0313304651320663,0.20168903021544277
South Shores_11,South Shores,Fished,Pre-bloom,11,2017-02-14,0.2789353559627857,-0.8661186498486992
South Shores_12,South Shores,Fished,Pre-bloom,12,2018-02-06,0.5230423850652846,-0.7880644014347915
South Shores_19,South Shores,Fished,Bloom,19,2026-01-13,1.682725374689184,-1.1865358518761566
Yankalilla Mouth_11,Yankalilla Mouth,Fished,Pre-bloom,11,2017-02-14,0.7590529862743547,-1.704983936508137
Yankalilla Mouth_12,Yankalilla Mouth,Fished,Pre-bloom,12,2018-02-06,0.8639523788328348,-1.6530382054257347
Yankalilla Mouth_19,Yankalilla Mouth,Fished,Bloom,19,2026-01-13,1.4621526318747995,-1.0915327233791248
