"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","fixed_effect_structure","structure_reason","n_all_zero_date_status_cells","1","metric_id"
"2017-04-05",48.56140082255887,11.099854081017947,Inf,31.026229972245243,76.0069673936787,"2017-04-05","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2018-03-28",46.83988632185149,10.50183137247094,Inf,30.183560615726382,72.68774478186828,"2018-03-28","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2026-03-24",29.270197039483197,6.628431389947447,Inf,18.778693687559098,45.623217939689006,"2026-03-24","Bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 30.384, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2021-10-11",30.232351186618743,4.014266621010267,Inf,23.304992082140387,39.21885298435614,"2021-10-11","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2022-05-10",12.100997358426797,1.6640011619344846,Inf,9.242148306378354,15.84416655244459,"2022-05-10","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2024-03-25",239.62344903210698,38.440018784676624,Inf,174.97697134981757,328.15402440158095,"2024-03-25","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2024-11-14",95.18387400913079,15.154960230130785,Inf,69.66858667219746,130.04383042840786,"2024-11-14","Pre-bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-05-22",24.88675833430699,4.064230660864057,Inf,18.070055665556435,34.27497689289086,"2025-05-22","Bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-11-11",54.72133329094129,9.041383102304323,Inf,39.58367435614128,75.64796259682507,"2025-11-11","Bloom","Boston Bay","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 20.412, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2017-01-12",17.7756140282172,2.3248142092405137,Inf,13.756208696166771,22.969443184458168,"2017-01-12","Pre-bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2026-03-10",14.93470482525914,1.9783595765428366,Inf,11.519676913500676,19.36212359881524,"2026-03-10","Bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 2.195, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2015-12-10",26.7049207473457,5.189198724329751,Inf,18.246897986087713,39.083508477208326,"2015-12-10","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2016-12-06",15.820665303549777,2.825305993289531,Inf,11.148447574285118,22.450968978341677,"2016-12-06","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2017-12-05",34.26944265208345,5.994430676940565,Inf,24.322845228134913,48.28360698221198,"2017-12-05","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2018-12-11",47.454845558288866,8.424989932231005,Inf,33.50894954644012,67.20480341647384,"2018-12-11","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2020-12-04",60.391744521706435,10.431505402993082,Inf,43.04760337823948,84.7239455894703,"2020-12-04","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2025-02-06",106.86483379633177,41.60492468003662,Inf,49.8244576320376,229.20656330384975,"2025-02-06","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2025-02-20",129.52381676455414,22.89904766065464,Inf,91.59298565634734,183.16270606356417,"2025-02-20","Pre-bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2025-12-17",91.13087254640784,15.768682851998543,Inf,64.92011027635196,127.92393444369704,"2025-12-17","Bloom","Carrickalinga - Carrickalinga Cliffs Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 44.316, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2015-11-15",21.362690946986277,3.3694514131242586,Inf,15.681924481560166,29.101311196407863,"2015-11-15","Pre-bloom","Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2025-12-04",21.04865965508082,3.3756243839899467,Inf,15.371462808722097,28.82263573666087,"2025-12-04","Bloom","Chinamans Hat - Chinamans Hat Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 3.572, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2017-01-12",131.98484770654846,29.339297457782635,Inf,85.37053388130711,204.05167019735725,"2017-01-12","Pre-bloom","Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 170.07, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2026-02-16",122.54654723345064,24.87244376636521,Inf,82.32627395230998,182.41632370657013,"2026-02-16","Bloom","Cuttlefish Coast - Fairway Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 170.07, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2016-01-19",72.66659729179197,19.079472410355958,Inf,43.435199136807306,121.57039605909829,"2016-01-19","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 27.062, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2017-02-25",140.41665502106912,25.859570966414292,Inf,97.87204909877889,201.4552386392402,"2017-02-25","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 27.062, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2019-02-16",94.90909140656542,12.962957921971702,Inf,72.61866315310371,124.04160639295385,"2019-02-16","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 27.062, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2020-04-10",42.04168083606572,5.585752886940139,Inf,32.40317057360056,54.547221652489526,"2020-04-10","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 27.062, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2022-03-16",140.4166550210992,25.859570966419845,Inf,97.87204909879983,201.45523863928335,"2022-03-16","Pre-bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 27.062, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-11-10",120.00002505110213,22.132455824427023,Inf,83.59651989116523,172.25604643605485,"2025-11-10","Bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 27.062, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2026-04-08",105.66668033212201,19.515820018254388,Inf,73.57456628441184,151.75688959210993,"2026-04-08","Bloom","Dangerous Reef - Dangerous Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 27.062, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2020-10-13",47.018664637219786,13.585586504615431,Inf,26.688481945789185,82.83554039371462,"2020-10-13","Pre-bloom","Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 54.167, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2021-10-25",27.33457244234994,7.840754445754795,Inf,15.579386207648632,47.959453642612225,"2021-10-25","Pre-bloom","Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 54.167, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2022-12-02",33.84161601742729,9.336049573241173,Inf,19.707249948489366,58.11338353471176,"2022-12-02","Pre-bloom","Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 54.167, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2023-11-23",68.64655962222382,18.811966634651647,Inf,40.119426753493386,117.45806282132891,"2023-11-23","Pre-bloom","Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 54.167, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-10-21",4.434191816176034,1.2759456353645124,Inf,2.5227830229400627,7.793796328836975,"2025-10-21","Bloom","Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 54.167, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2026-03-20",81.32994908457135,21.673220306689913,Inf,48.241184723056655,137.1143900397946,"2026-03-20","Bloom","Glenelg","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 54.167, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2014-09-03",10.37640236130886,4.546937586239816,Inf,4.395926737032539,24.493066514674968,"2014-09-03","Pre-bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 57.576, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2015-01-07",36.53488967760401,7.259151533213934,Inf,24.75037403124693,53.93042392286824,"2015-01-07","Pre-bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 57.576, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2016-01-10",32.14370414216332,6.7127556465892795,Inf,21.346888451839583,48.401326418599865,"2016-01-10","Pre-bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 57.576, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2016-03-11",31.422883735052825,13.269971153104,Inf,13.733500908945414,71.89700781855986,"2016-03-11","Pre-bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 57.576, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2026-01-26",124.21871248410086,23.299088135562798,Inf,86.00651880500786,179.40836050103292,"2026-01-26","Bloom","Middle/Long Spit - Middle Spit Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 57.576, greater than the threshold of 1.5","start_date_fct","Date-only model used because Status was not represented at every retained sampling date",0,NA,"total_abundance"
"2015-04-28",121.8333333837448,25.698840093375054,Inf,80.57836423457621,184.2102562442613,"2015-04-28","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2015-10-09",300.166666792912,63.02567014171443,Inf,198.90083021785003,452.98970222941364,"2015-10-09","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2021-10-12",31.454545450589887,7.081267128438556,Inf,20.232752666310006,48.90033728088205,"2021-10-12","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2022-12-01",51.24999994481257,10.924227864853036,Inf,33.74857481442027,77.82736037851873,"2022-12-01","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2023-12-01",21.250000061242783,4.642572678647519,Inf,13.848206247788864,32.608013956675364,"2023-12-01","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2024-12-19",32.99999997977276,7.103404242176628,Inf,21.641573243252378,50.319816698378965,"2024-12-19","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-02-04",19.40000002445211,6.591766439311127,Inf,9.967332805132667,37.759349297029146,"2025-02-04","Pre-bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2025-11-13",117.64705850954411,20.85515265968233,Inf,83.11695006777632,166.52235632637894,"2025-11-13","Bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2026-03-06",27.588235333393083,5.015934499281956,Inf,19.318052683289014,39.39893638809016,"2026-03-06","Bloom","O'Sullivan","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 33.594, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2014-09-03",64.97104495771944,7.732260788145619,Inf,51.453818816731804,82.03932730305598,"2014-09-03","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.084, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2016-03-11",89.08329304777173,11.185354555451068,Inf,69.64963730815631,113.93933130080852,"2016-03-11","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.084, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2016-11-03",58.53570511534786,9.742108029478812,Inf,42.24304606707153,81.11225615479145,"2016-11-03","Pre-bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.084, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2025-10-13",105.60671448249539,14.350240600260674,Inf,80.91462764266628,137.8338931872739,"2025-10-13","Bloom","Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 16.084, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2017-02-03",34.166666678378725,4.6264126591046555,Inf,26.20256418227189,44.55140740390772,"2017-02-03","Pre-bloom","Orcades Bank - Orcades Bank Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 7.965, greater than the threshold of 1.5","1","Intercept-only fixed effect used",0,"overall","total_abundance"
"2017-02-03",19.37128642034648,3.598243850786835,Inf,13.460046864813966,27.878560999667535,"2017-02-03","Pre-bloom","Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2025-11-14",35.03975513502147,6.770495490084212,Inf,23.993252860085498,51.17207104355457,"2025-11-14","Bloom","Port Gibbon - Port Gibbon Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 22.878, greater than the threshold of 1.5","start_date_fct * Status","Full date x Status interaction used",0,NA,"total_abundance"
"2015-04-28",65.63610819292485,15.197253757531568,Inf,41.69243998933526,103.33045271073914,"2015-04-28","Pre-bloom","Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.754, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2015-10-09",61.916620367857334,13.736391946493518,Inf,40.08349412322406,95.64205819961616,"2015-10-09","Pre-bloom","Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.754, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2021-10-12",25.249938917348114,9.893319065352394,Inf,11.715108599026875,54.42198080714081,"2021-10-12","Pre-bloom","Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.754, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2022-12-01",46.24984616674013,17.85410075636704,Inf,21.70280873542963,98.56089580493568,"2022-12-01","Pre-bloom","Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.754, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
"2023-12-01",106.7500070277961,40.783629406091976,Inf,50.48566060863048,225.7188251684767,"2023-12-01","Pre-bloom","Port Noarlunga - Port Noarlunga Reef Sanctuary Zone","Total abundance","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 39.754, greater than the threshold of 1.5","start_date_fct","Date-only fixed effect used",0,NA,"total_abundance"
