"Period","response","SE","df","asymp.LCL","asymp.UCL","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"Bloom",3.1030216563368307,1.1117315191676136,Inf,1.5375227535589797,6.262504653935847,"Glenelg","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 1.084, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",8.309520389361872,0.392527091962523,Inf,7.574721988055722,9.115599121670725,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.438, not greater than the threshold of 1.5",NA,"richness"
"Bloom",7.343683557069971,0.5863019256548679,Inf,6.279948512266998,8.587600373002388,"Middle/Long Spit - Middle Spit Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.438, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",6.792275592974342,1.1110284211719836,Inf,4.929266167551895,9.359406889936267,"O'Sullivan","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.976, not greater than the threshold of 1.5",NA,"richness"
"Bloom",4.355204772976995,0.8831029253101551,Inf,2.9269198028436176,6.480467485352222,"O'Sullivan","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.976, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",4.857374979047335,0.7638972252705352,Inf,3.568921898578252,6.61098571433414,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.9, not greater than the threshold of 1.5",NA,"richness"
"Bloom",2.746275639583369,0.5862431862399873,Inf,1.8073383168073494,4.173003924296801,"Offshore Ardrossan - Offshore Ardrossan Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.9, not greater than the threshold of 1.5",NA,"richness"
"Pre-bloom",12.916666838593299,1.3105517062876941,Inf,10.587313924731475,15.758509042551825,"Orcades Bank - Orcades Bank Sanctuary Zone","Species richness","Negative binomial nbinom2 (log link)","nbinom2","log","nbinom2 selected: Poisson Pearson dispersion ratio = 1.822, greater than the threshold of 1.5","overall","richness"
"Pre-bloom",7.645813135397567,0.6520527304570285,Inf,6.468911830531137,9.036830309776873,"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.735, not greater than the threshold of 1.5",NA,"richness"
"Bloom",9.197671380770256,0.7331713813524414,Inf,7.867310676154483,10.752995821691771,"Port Gibbon - Port Gibbon Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson retained: Pearson dispersion ratio = 0.735, not greater than the threshold of 1.5",NA,"richness"
