genus_species,type,fisheries_status,diet,common_name,body_shape,functional_group,colour,habitat association,water column position,iconic species,2026 edit,Notes
Scomber australasicus,Teleost,Target,Carnivore,Blue mackerel,fusiform / normal,pelagic-neritic,NA,reef/seagrass/unconsolidated,pelagic-neritic,No,Y,NA
Seriola hippos,Teleost,Target,Carnivore,Samson fish,fusiform / normal,pelagic-neritic,NA,reef,NA,Yes,Y,bentho pelagic? iconic?
Sphyraena novaehollandiae,Teleost,Target,Carnivore,Snook,elongated,pelagic-neritic,NA,reef/seagrass,NA,No,Y,bentho pelagic?
Carcharodon carcharias,Chondrichthyes,Non-target,Carnivore,White shark,fusiform / normal,pelagic-oceanic,NA,reef/seagrass/unconsolidated,pelagic-oceanic,Yes,Y,NA
Sphyrna zygaena,Chondrichthyes,By-catch,Carnivore,Smooth hammerhead,elongated,pelagic-oceanic,NA,unconsolidated,pelagic-oceanic,No,Y,NA
Trachurus novaezelandiae,Teleost,Target,Carnivore,Yellowtail scad,fusiform / normal,pelagic-oceanic,#00FBF8,reef,NA,No,Y,bentho pelagic
Acanthaluteres brownii,Teleost,Target,Omnivore,Spiny-tailed leatherjacket,short and / or deep,reef-associated,NA,reef/seagrass,NA,No,Y,bentho pelagic
Achoerodus gouldii,Teleost,Target,Carnivore,Western blue groper,fusiform / normal,reef-associated,NA,reef,Demersal,Yes,Y,?
Aplodactylus arctidens,Teleost,Non-target,Herbivore,Marblefish,elongated,reef-associated,NA,reef,Demersal,No,Y,NA
Asymbolus vincenti,Chondrichthyes,Non-target,Carnivore,Gulf catshark,elongated,reef-associated,NA,reef,Demersal,No,Y,NA
Austrolabrus maculatus,Teleost,Non-target,Carnivore,Black-spotted wrasse,short and / or deep,reef-associated,NA,reef,Demersal,No,Y,NA
Bodianus frenchii,Teleost,Target,Carnivore,Foxfish,fusiform / normal,reef-associated,NA,reef,NA,NA,Y,?
Brachaluteres jacksonianus,Teleost,Non-target,Omnivore,Southern Pygmy leatherjacket,short and / or deep,reef-associated,NA,reef/seagrass,Demersal,NA,Y,NA
Carcharhinus brachyurus,Chondrichthyes,Target,Carnivore,Bronze whaler,fusiform / normal,reef-associated,NA,reef/seagrass/unconsolidated,NA,NA,Y,benthopelagic?
Chelmonops curiosus,Teleost,Non-target,Carnivore,Western talma,short and / or deep,reef-associated,NA,reef,Demersal,No,Y,NA
Chironemus maculosus,Teleost,Non-target,Herbivore,Silver spot,fusiform / normal,reef-associated,NA,reef,Demersal,No,Y,NA
Chrysophrys auratus,Teleost,Target,Carnivore,Snapper,short and / or deep,reef-associated,#A9263B,reef/seagrass/unconsolidated,NA,Yes,Y,bentho pelagic
Coris auricularis,Teleost,Non-target,Carnivore,Western king wrasse,fusiform / normal,reef-associated,NA,reef,Demersal,No,Y,NA
Dactylophora nigricans,Teleost,Target,Omnivore,Dusky morwong,elongated,reef-associated,NA,reef,Demersal,No,Y,NA
Diodon nicthemerus,Teleost,Non-target,Carnivore,Globefish,short and / or deep,reef-associated,NA,reef/seagrass,Demersal,No,Y,NA
Enoplosus armatus,Teleost,Non-target,Carnivore,Old wife,elongated,reef-associated,NA,reef,Demersal,No,Y,NA
Eubalichthys cyanoura,Teleost,Target,Omnivore,Bluetail leatherjacket,short and / or deep,reef-associated,NA,reef,Demersal,No,Y,NA
Eubalichthys mosaicus,Teleost,Target,Omnivore,Mosaic leatherjacket,short and / or deep,reef-associated,NA,reef,Demersal,No,Y,NA
Girella zebra,Teleost,By-catch,Herbivore,Zebra fish,short and / or deep,reef-associated,NA,reef,Demersal,No,Y,NA
Gobiesocidae spp,Teleost,Non-target,Omnivore,Clingfish,elongated,reef-associated,NA,reef,Demersal,No,Y,NA
Gobiidae spp,Teleost,Non-target,Omnivore,Goby,elongated,reef-associated,NA,reef/seagrass/unconsolidated,Benthic,No,Y,?
Gymnothorax prasinus,Teleost,Non-target,Carnivore,Green moray,eel-like,reef-associated,NA,reef,Demersal,No,Y,NA
Heteroscarus acroptilus,Teleost,Non-target,Omnivore,Rainbow cale,fusiform / normal,reef-associated,NA,reef,Demersal,No,Y,NA
Hippocampus spp,Teleost,Non-target,Planktivore,Seahorse,elongated,reef-associated,NA,NA,NA,NA,Y,?
