genus_species,type,fisheries_status,diet,common_name,body_shape,functional_group,colour,habitat association,water column position,iconic species,2026 edit,Notes
Portunidae australiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portunus australiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudocaranx georgianus,NA,NA,NA,Silver trevally,NA,NA,NA,NA,NA,NA,Y,should be sp.
Pseudophycis palmata,NA,NA,NA,Australian red cod,NA,NA,NA,NA,NA,NA,Y,NA
Rhombosolea spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sillago bassensis,NA,NA,NA,Southern School Whiting,NA,NA,NA,NA,NA,NA,Y,NA
Siphonognathus spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trachurus spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tursiops aduncus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unknown australiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unknown spp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urolophus cruciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urolophus paucimaculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
