dataset,dataset_label,location,ordination,site_name,status,axis1,axis2,n_events
M1,M1 fish,Southern Metro,cap_period,Willunga,Fished,0.7028864541475863,0.7574859016712289,3
M1,M1 fish,Southern Metro,cap_status,Aldinga Pinacles,No-take,-0.9776213741802565,-0.18751664807115687,5
M1,M1 fish,Southern Metro,cap_status,Aldinga Reef,No-take,-0.8800273837977843,-0.13284031821043263,5
M1,M1 fish,Southern Metro,cap_status,Aldinga SZ1,No-take,-0.7798992427474154,0.26947558694153806,2
M1,M1 fish,Southern Metro,cap_status,Aldinga SZ3,No-take,0.23431787822827038,0.7679805540475213,2
M1,M1 fish,Southern Metro,cap_status,Gull Rock,Fished,0.6831337044496629,0.26662507472387353,2
M1,M1 fish,Southern Metro,cap_status,Horseshoe inner,Fished,0.3017309484581701,-0.04767425853159625,13
M1,M1 fish,Southern Metro,cap_status,Horseshoe outer,Fished,0.8167192807158637,-0.0664317791400569,10
M1,M1 fish,Southern Metro,cap_status,Moana inside,Fished,0.9739654165914942,0.32219132485794155,8
M1,M1 fish,Southern Metro,cap_status,Moana outside,Fished,0.12570502097868186,-0.551997278720406,12
M1,M1 fish,Southern Metro,cap_status,Noarlunga North Outside,No-take,-1.0625725407489361,-0.25793875337284566,11
M1,M1 fish,Southern Metro,cap_status,Noarlunga South Outside,No-take,-0.8668709638865462,0.3804501441561316,4
M1,M1 fish,Southern Metro,cap_status,Pt Noarlunga inside,No-take,-0.7087607764861275,0.10529978248832597,8
M1,M1 fish,Southern Metro,cap_status,Southport,Fished,1.0902887479705454,0.6295238482571893,5
M1,M1 fish,Southern Metro,cap_status,Willunga,Fished,0.9992282214196504,0.5498835024529896,3
M1,M1 fish,Southern Yorke,cap_period,Edithburgh,Fished,0.6765643705755221,-1.2977344738959355,3
M1,M1 fish,Southern Yorke,cap_period,Troubridge Lighthouse,Fished,-0.751593962103627,1.3004687501785308,2
M1,M1 fish,Southern Yorke,cap_period,Troubridge Point,Fished,-0.2632525937596561,0.6461329606653727,2
M1,M1 fish,Sponge Gardens,cap_period,Cable Hut,No-take,-0.31894756364614957,-0.3791084605602749,10
M1,M1 fish,Sponge Gardens,cap_period,Grassy Knoll,Fished,0.20201033678809086,-0.413297117751305,6
M1,M1 fish,Sponge Gardens,cap_period,Pancake Rock,No-take,0.11831066475741632,-1.2105842645710245,6
M1,M1 fish,Sponge Gardens,cap_period,Penneshaw Pub,Fished,0.3838641835426371,1.695449953620603,6
M1,M1 fish,Sponge Gardens,cap_period,Puzzle Rock,Fished,-0.17260591234456113,0.5602788629688513,6
M1,M1 fish,Sponge Gardens,cap_status,Cable Hut,No-take,-1.2378484284346334,-0.3145105029606312,10
M1,M1 fish,Sponge Gardens,cap_status,Grassy Knoll,Fished,0.26590233950979164,0.44898310315337364,6
M1,M1 fish,Sponge Gardens,cap_status,Pancake Rock,No-take,-1.823649593475226,0.5241841716010525,6
M1,M1 fish,Sponge Gardens,cap_status,Penneshaw Pub,Fished,2.614714273600971,-0.09211491185978794,6
M1,M1 fish,Sponge Gardens,cap_status,Puzzle Rock,Fished,1.0061136944221851,-0.3568681912935856,6
M1,M1 fish,Upper GSV,cap_period,Outer Harbor breakwater south inside,Fished,0.2982737633047249,-0.3534598268668134,2
M1,M1 fish,Upper GSV,cap_period,Port Gawler,Fished,-0.0032998852962574433,-0.31461738584700105,5
M1,M1 fish,Upper GSV,cap_period,Port Julia,Fished,-0.3427142334963424,0.43381072917232266,2
M1,M1 fish,Upper GSV,cap_period,Port Parham,Fished,0.1974166946604802,0.786503303266818,7
M1,M1 fish,Upper GSV,cap_period,Semaphore,Fished,-0.18236235653697694,-0.584733999749106,7
M2_cryptic,M2 fish,Carrickalinga,cap_period,Carrickalinga (toilet),Fished,-0.192090726326311,0.07729664620669299,14
M2_cryptic,M2 fish,Carrickalinga,cap_period,Carrickalinga Head,No-take,0.03418632198398672,0.13782038786979156,13
M2_cryptic,M2 fish,Carrickalinga,cap_period,Carrickalinga North Site,Fished,-0.3096531822312576,0.0568735303797546,8
M2_cryptic,M2 fish,Carrickalinga,cap_period,Carrickalinga North Site 2,Fished,0.10592501994381692,0.34323643038652624,9
M2_cryptic,M2 fish,Carrickalinga,cap_period,Carrickalinga Nth,Fished,-0.247867912954493,0.05274116836025591,8
