dataset,dataset_label,location,id,site_name,status,period,sampling_event,survey_date,period_CAP1,status_CAP1,period_cap_percent,status_cap_percent
M1,M1 fish,Carrickalinga,Dodd's Beach_15,Dodd's Beach,No-take,Pre-bloom,15,2021-03-10,-0.150092939863876,0.30576812035220247,3.7,2.4
M1,M1 fish,Carrickalinga,Dodd's Beach_19,Dodd's Beach,No-take,Bloom,19,2026-01-13,1.8031890327618028,-0.36818967327124086,3.7,2.4
M1,M1 fish,Carrickalinga,Haycock Point_1,Haycock Point,Fished,Pre-bloom,1,2005-03-08,-0.9554240605371378,0.46456262481714733,3.7,2.4
M1,M1 fish,Carrickalinga,Haycock Point_2,Haycock Point,Fished,Pre-bloom,2,2006-02-23,-0.3267879718192917,-0.1650137016347912,3.7,2.4
M1,M1 fish,Carrickalinga,Haycock Point_3,Haycock Point,Fished,Pre-bloom,3,2007-02-22,-0.6507866708535921,0.07671150115097684,3.7,2.4
M1,M1 fish,Carrickalinga,Haycock Point_5,Haycock Point,Fished,Pre-bloom,5,2011-02-02,-0.33380649156903575,-0.631036109230488,3.7,2.4
M1,M1 fish,Carrickalinga,Haycock Point_6,Haycock Point,Fished,Pre-bloom,6,2012-02-01,0.22440872913715734,-0.6657452641159268,3.7,2.4
M1,M1 fish,Carrickalinga,Haycock Point_9,Haycock Point,Fished,Pre-bloom,9,2014-01-18,-0.18191492182172966,-0.6404275807309586,3.7,2.4
M1,M1 fish,Carrickalinga,Haycock Point_19,Haycock Point,Fished,Bloom,19,2026-01-13,1.2485841302734104,-0.43691459404246347,3.7,2.4
M1,M1 fish,Carrickalinga,Lady Bay_11,Lady Bay,Fished,Pre-bloom,11,2017-02-14,0.2854530991845034,-0.8855099765785226,3.7,2.4
M1,M1 fish,Carrickalinga,Lady Bay_12,Lady Bay,Fished,Pre-bloom,12,2018-02-06,0.3672314253466477,-0.6368954757733486,3.7,2.4
M1,M1 fish,Carrickalinga,Lady Bay_19,Lady Bay,Fished,Bloom,19,2026-01-13,1.5839650661488482,-0.564813937535293,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga_11,Myponga,Fished,Pre-bloom,11,2017-02-14,0.19220564885151145,-0.8802665347209658,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga_12,Myponga,Fished,Pre-bloom,12,2018-02-06,-0.7184134736315579,-0.04557855770714809,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga_14,Myponga,Fished,Pre-bloom,14,2020-02-09,-0.5387431949170897,-0.15911866503435992,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga_19,Myponga,Fished,Bloom,19,2026-01-13,2.015097788960879,-0.9113911069058924,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_1,Myponga South,No-take,Pre-bloom,1,2005-03-08,-0.8367363766029859,1.379950229804339,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_2,Myponga South,No-take,Pre-bloom,2,2006-02-23,0.5793744232135237,0.17444475706178625,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_3,Myponga South,No-take,Pre-bloom,3,2007-02-22,-0.3609707386889288,1.1796856812506031,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_6,Myponga South,No-take,Pre-bloom,6,2012-02-01,-0.3268220522803751,0.6124647466606912,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_10,Myponga South,No-take,Pre-bloom,10,2016-02-09,-0.5763773461193333,1.5562364340595054,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_11,Myponga South,No-take,Pre-bloom,11,2017-02-14,-0.47885775570246786,0.6102559321143444,3.7,2.4
M1,M1 fish,Carrickalinga,Myponga South_12,Myponga South,No-take,Pre-bloom,12,2018-02-06,-0.9511001490648484,1.1940378460788945,3.7,2.4
