"start_date_fct","response","SE","df","asymp.LCL","asymp.UCL","start_date_date","Period","reporting_name","metric","model_family","family_code","model_link","family_selection_reason","1","metric_id"
"2016-05-24",4.182915619559846,0.43446655474592455,Inf,3.412458847340784,5.127324273519777,"2016-05-24","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2017-04-05",6.268649844843376,0.5352988527169763,Inf,5.302581512249113,7.410724528511269,"2017-04-05","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2018-03-28",7.630041583422436,0.5965242357891105,Inf,6.546047043254524,8.893540510795248,"2018-03-28","Pre-bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2026-03-24",5.54980117486347,0.5067977449085889,Inf,4.640312708480983,6.637546867094328,"2026-03-24","Bloom","Bay of Shoals - Bay of Shoals Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2021-10-11",8.485403495703828,1.0761864173792672,Inf,6.6178412209105515,10.879993955943831,"2021-10-11","Pre-bloom","Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2022-05-10",4.550162926841865,0.647713509517588,Inf,3.442380051510243,6.014438368512757,"2022-05-10","Pre-bloom","Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2024-03-25",5.761600587553675,0.7864984386362731,Inf,4.409082593177299,7.529013264996908,"2024-03-25","Pre-bloom","Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2024-11-14",7.706562727205114,0.9921298955744813,Inf,5.98795414295676,9.918430844732674,"2024-11-14","Pre-bloom","Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-05-22",5.65693030888496,0.7694422959334895,Inf,4.333136852951053,7.385148820718027,"2025-05-22","Bloom","Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2025-11-11",6.919838321337101,0.9203253866248675,Inf,5.331970708286495,8.980574915580087,"2025-11-11","Bloom","Boston Bay","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2017-01-12",9.157192073257447,0.6180164935905756,Inf,8.022596589211037,10.452247689893559,"2017-01-12","Pre-bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
"2026-03-10",7.540630683905047,0.5605676252692121,Inf,6.518229854082728,8.723397668376952,"2026-03-10","Bloom","Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Species richness","Poisson (log link)","poisson","log","Poisson with a log link was specified for species-richness count metrics",NA,"richness"
