"reporting_name","metric","model_type","formula","n_observations","n_dates","n_periods","n_statuses","n_sites","family_code","selected_family","link","selection_reason","selected_model_valid","selected_converged","selected_pdHess","selected_finite_standard_errors","selected_AIC","selected_logLik","dispersion_parameter","tweedie_power","model_warnings","model_error"
"Rapid Head - Rapid Head Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",143,7,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,913.1434351575382,-439.5717175787691,1.875606814898919,1.2627392539994222,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",153,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,1022.3982194607219,-503.19910973036093,2.0078223867580203,1.2227555555504812,NA,NA
"Sponge Gardens - Sponge Gardens Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",153,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,1020.5620376410097,-491.28101882050487,1.924950405293058,1.1970796001178847,NA,NA
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period * Status + (1 | start_date_fct) +     (1 | uwa_site_code)",163,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,975.8505040882865,-479.92525204414324,1.9083716327300448,1.2382056007918043,NA,NA
"The Pages - The Pages Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",163,8,2,2,6,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,968.5873217210699,-465.29366086053494,1.8127878197301652,1.2127939824832605,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Status + (1 | start_date_fct) + (1 |     uwa_site_code)",40,2,1,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,230.0832509095814,-109.0416254547907,1.9619738165957759,1.1145083662800126,NA,NA
"Victor Harbor - Encounter Bay Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct * Status + (1 | uwa_site_code)",40,2,1,2,4,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",TRUE,TRUE,TRUE,TRUE,227.4957321443504,-106.7478660721752,1.9059322426393144,1.1045915134612796,NA,NA
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Period","total_abundance_sample ~ Period + (1 | start_date_fct) + (1 |     uwa_site_code)",78,7,2,1,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,1.0000000000000768,1.00000000000003,"NA/NaN function evaluation | Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Windara Reef - Windara Shell fish Reef Sanctuary Zone","Abundance > 200 mm","Temporal","total_abundance_sample ~ start_date_fct + (1 | uwa_site_code)",78,7,2,1,3,"tweedie","Tweedie (log link)","log","Tweedie with a log link was specified for non-richness metrics",FALSE,FALSE,FALSE,FALSE,NA,NA,1.000000000015692,1.0000000000093567,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')","Model did not converge | Model Hessian was not positive definite | Model standard errors were not finite | Model AIC was not finite"
"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",125,9,2,2,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,753.4371620772464,-370.7185810386232,1,NA,NA,NA
"Aldinga - Aldinga Reef Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",125,9,2,2,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,755.2942838499001,-367.64714192495006,1,NA,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | start_date_fct) + (1 |     uwa_site_code)",96,4,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,155.35876338932647,-71.67938169466323,1,NA,NA,NA
"Bay of Shoals - Bay of Shoals Sanctuary Zone","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct * Status + (1 | uwa_site_code)",96,4,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,149.9509794274746,-65.9754897137373,1,NA,NA,NA
"Boston Bay","Reef associated species richness","Period","n_species_sample ~ Period + (1 | start_date_fct) + (1 | uwa_site_code)",141,6,2,1,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,179.56045225436074,-85.78022612718037,1,NA,NA,NA
"Boston Bay","Reef associated species richness","Temporal","n_species_sample ~ start_date_fct + (1 | uwa_site_code)",93,4,2,1,3,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,145.06447939499168,-67.53223969749584,1,NA,NA,NA
"Cape Elizabeth - Cape Elizabeth Sanctuary Zone","Reef associated species richness","Period","n_species_sample ~ Period * Status + (1 | uwa_site_code)",48,2,2,2,6,"poisson","Poisson (log link)","log","Poisson with a log link was specified for species-richness count metrics",TRUE,TRUE,TRUE,TRUE,182.1896345853561,-86.09481729267804,1,NA,NA,NA
